id,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent,permeance,pressure,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,secondary_solute_ratio,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM150,membrane_DM300,membrane_DM500,membrane_GMT-oNF-2,membrane_SM122,membrane_SS336,membrane_PMPerformance,membrane_SS150101,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,source
16,500,82.0,0.0,0,1,Ethanol,0.244542261,20.0,22,C(C)O,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,Unknown,0.600057754,310.393,4.448400000000004,310.393,4.448400000000004,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,0,0,0,0,1,0,0,SS336,1,0,CF,0.39691818112025556,nf10k
17,500,59.0,-31.0,0,0,Acetonitrile,7.29,20.0,25,C(C)#N,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C)(C)C9=CC=CC=C9,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C)(C)C9=CC=CC=C9,Unknown,0.957,967.4379999999999,20.375300000000003,967.4379999999999,20.375300000000003,0.5,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,1,0,0,0,0,0,DM500,1,0,CF,1.3565473235138121,nf10k
18,150,59.0,0.0,0,1,Methanol,0.88,10.0,22,CO,FC1=C(Br)C=C(F)C(Br)=C1,FC1=C(Br)C=C(F)C(Br)=C1,Unknown,0.58,271.88599999999997,3.4898000000000007,271.88599999999997,3.4898000000000007,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,1,0,0,0,0,0,0,0,DM150,1,0,CF,0.37571790416433165,nf10k
19,300,87.0,-8.0,0,0,Methyl tert-butyl ether,64.75433947,20.0,22,CC(C)(C)OC,CC1=C(OC)C=C(C)C(Br)=C1,CC1=C(OC)C=C(C)C(Br)=C1,Unknown,0.086267638,215.08999999999997,3.0745400000000016,215.08999999999997,3.0745400000000016,0.5,88.15,1.06,0.36,740.0,2.6,14.8,4.3,5.0,119.8,0,0,0,1,0,0,0,0,GMT-oNF-2,1,0,CF,0.038705955888824466,nf10k
20,300,59.0,-37.5,0,0,Acetonitrile,1.38,20.0,22,C(C)#N,C1=CC2=C(C=CC(=C2)I)N=C1,C1=CC2=C(C=CC(=C2)I)N=C1,Unknown,0.480033451,255.058,2.8394000000000013,255.058,2.8394000000000013,0.5,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.2831901616354248,nf10k
21,150,59.0,0.0,0,1,Methanol,0.88,10.0,22,CO,CCN1C=C(C(C2=CC(F)=C(N3CCNCC3)N=C12)=O)C(O)=O,CCN1C=C(C(C2=CC(F)=C(N3CCNCC3)N=C12)=O)C(O)=O,Unknown,1.0,320.324,0.6633,320.324,0.6633,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,1,0,0,0,0,0,0,0,DM150,1,0,CF,3.0,nf10k
22,300,87.0,-8.0,0,0,2-propanol,0.322751323,20.0,22,C(C)(C)O,CCC(C(=O)O)c1ccccc1,CCC(C(=O)O)c1ccccc1,Unknown,0.069791236,164.20399999999998,2.2648,164.20399999999998,2.2648,0.5,60.096,0.05,2.27,785.0,18.6,15.8,6.1,16.4,76.8,0,0,0,1,0,0,0,0,GMT-oNF-2,1,0,CF,0.03095294534568088,nf10k
23,220,-1.0,0.0,1,1,Toluene,2.67,30.0,25,CC1=CC=CC=C1,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC,Unknown,0.81,198.39399999999995,5.707400000000006,198.39399999999995,5.707400000000006,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,1,0,0,0,SM122,0,1,DE,0.7189666327522726,nf10k
24,300,59.0,-37.5,0,0,Toluene,0.26,20.0,22,CC1=CC=CC=C1,CC1=CC=CC2=CC=CC=C12,CC1=CC=CC2=CC=CC=C12,Unknown,0.130650687,142.201,3.148220000000002,142.201,3.148220000000002,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.06030640915024465,nf10k
25,150,59.0,0.0,0,1,Acetone,4.81,30.0,25,CC(=O)C,CC(OCC(C)OCC(C)O)COC(C)COC(C)COC(C)COC(C)COC(C)CO,CC(OCC(C)OCC(C)O)COC(C)COC(C)COC(C)COC(C)COC(C)CO,Unknown,0.95,482.6550000000003,2.195200000000002,482.6550000000003,2.195200000000002,0.5,58.08,-0.24,0.32,784.0,20.7,15.5,10.4,7.0,74.0,1,0,0,0,0,0,0,0,DM150,0,1,DE,1.2924298239020633,nf10k
26,300,59.0,-37.5,0,0,n-Heptane,0.225,20.0,22,CCCCCCC,NC1=CC=CC(F)=C1,NC1=CC=CC(F)=C1,Unknown,-0.085634956,111.119,1.4079,111.119,1.4079,0.5,100.205,4.39,0.39,684.0,1.92,15.3,0.0,0.0,147.4,0,1,0,0,0,0,0,0,DM300,1,0,CF,-0.03608367175763624,nf10k
27,300,59.0,-37.5,0,0,Tetrahydrofuran,1.45,30.0,20,C1CCOC1,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(O)c3)OCc4cc(CO[C@@H]([C@]5([H])C[C@@H]6CC[N@]5C[C@@H]6C=C)c(ccn7)c8c7ccc(O)c8)cc(CO[C@@H]([C@]9([H])C[C@@H]%10CC[N@]9C[C@@H]%10C=C)c(ccn%11)c%12c%11ccc(O)c%12)c4)C[C@@H]%13CC[N@]1C[C@@H]%13C=C,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(O)c3)OCc4cc(CO[C@@H]([C@]5([H])C[C@@H]6CC[N@]5C[C@@H]6C=C)c(ccn7)c8c7ccc(O)c8)cc(CO[C@@H]([C@]9([H])C[C@@H]%10CC[N@]9C[C@@H]%10C=C)c(ccn%11)c%12c%11ccc(O)c%12)c4)C[C@@H]%13CC[N@]1C[C@@H]%13C=C,organocatalyst,1.0,1045.3379999999995,11.910899999999987,1045.3379999999995,11.910899999999987,0.5,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,3.0,nf10k
28,300,59.0,-37.5,0,0,Acetonitrile,1.38,20.0,22,C(C)#N,CC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C,CC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C,Unknown,0.928815637,210.276,3.534440000000002,210.276,3.534440000000002,0.5,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,1,0,0,0,0,0,0,DM300,1,0,CF,1.1415568716591746,nf10k
29,500,82.0,0.0,0,1,Methanol,0.179221384,10.0,22,CO,IC1=CC(I)=CC=C1,IC1=CC(I)=CC=C1,Unknown,0.037214185,329.906,2.8958000000000013,329.906,2.8958000000000013,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,0,0,0,0,1,0,0,SS336,1,0,CF,0.016019469934126004,nf10k
30,150,59.0,0.0,0,1,Methanol,0.88,10.0,22,CO,C1CCN(C1)c2cc[nH+]cc2,C1CCN(C1)c2cc[nH+]cc2,Unknown,0.9,149.21699999999998,1.1009,149.21699999999998,1.1009,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,1,0,0,0,0,0,0,0,DM150,1,0,CF,0.9956786262173575,nf10k
31,300,87.0,-8.0,0,0,2-Methyltetrahydrofuran,48.05898411,20.0,22,CC1CCCO1,C1=CC=C2C(=C1)C(=O)N(C2=O)O,C1=CC=C2C(=C1)C(=O)N(C2=O)O,Unknown,0.742499749,163.13199999999998,0.6718,163.13199999999998,0.6718,0.5,86.134,0.16,0.47,854.0,7.0,16.9,5.0,4.3,100.2,0,0,0,1,0,0,0,0,GMT-oNF-2,1,0,CF,0.5875390308761818,nf10k
32,300,87.0,-8.0,0,0,Toluene,4.285714286,20.0,22,CC1=CC=CC=C1,O=C1CC(C2=CC=CC=C2)OC3=C1C=CC=C3,O=C1CC(C2=CC=CC=C2)OC3=C1C=CC=C3,Unknown,0.255622848,224.259,3.3931000000000022,224.259,3.3931000000000022,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,1,0,0,0,0,GMT-oNF-2,1,0,CF,0.12762392378019613,nf10k
33,150,59.0,0.0,0,1,Methanol,0.4,20.0,25,CO,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.999,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,1,0,0,0,0,0,0,0,DM150,1,0,CF,2.6989700043360187,nf10k
34,300,59.0,-37.5,0,0,Ethanol,0.7,40.0,25,C(C)O,CCCCCCCCCC,CCCCCCCCCC,Unknown,0.775,142.286,4.147000000000004,142.286,4.147000000000004,0.5,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.6458915608525991,nf10k
35,500,82.0,0.0,0,1,Methanol,0.179221384,10.0,22,CO,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC,Unknown,0.105135328,310.393,4.448400000000004,310.393,4.448400000000004,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,0,0,0,0,1,0,0,SS336,1,0,CF,0.04775758926917485,nf10k
36,500,59.0,-31.0,0,0,Acetonitrile,5.45,40.0,25,C(C)#N,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C)(C)C%11=CC=CC=C%11,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C)(C)C%11=CC=CC=C%11,Unknown,0.991,1175.7419999999997,24.72310000000005,1175.7419999999997,24.72310000000005,0.5,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,1,0,0,0,0,0,DM500,1,0,CF,1.9999999999999996,nf10k
37,300,59.0,-37.5,0,0,Methanol,1.23,20.0,22,CO,N[C@H](C)C1CCCCC1,N[C@H](C)C1CCCCC1,Unknown,0.98,127.23100000000001,1.9139,127.23100000000001,1.9139,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,1.6777807052660803,nf10k
38,500,82.0,0.0,0,1,Methyl tert-butyl ether,4.065274141,20.0,22,CC(C)(C)OC,C1=CC=NC(=C1)N,C1=CC=NC(=C1)N,Unknown,-0.060515833,94.11699999999999,0.6638,94.11699999999999,0.6638,0.5,88.15,1.06,0.36,740.0,2.6,14.8,4.3,5.0,119.8,0,0,0,0,0,1,0,0,SS336,1,0,CF,-0.025926476253549324,nf10k
39,300,87.0,-8.0,0,0,n-Heptane,7.156084656,20.0,22,CCCCCCC,CN(C=O)C1=CC=CC=C1,CN(C=O)C1=CC=CC=C1,Unknown,0.017119184,135.16599999999997,1.2792,135.16599999999997,1.2792,0.5,100.205,4.39,0.39,684.0,1.92,15.3,0.0,0.0,147.4,0,0,0,1,0,0,0,0,GMT-oNF-2,1,0,CF,0.00705750734963221,nf10k
40,300,59.0,-37.5,0,0,Methanol,1.23,20.0,22,CO,C1(C2=CC=CC=C2)=NC=CN1,C1(C2=CC=CC=C2)=NC=CN1,Unknown,0.91,144.17700000000002,2.0766999999999993,144.17700000000002,2.0766999999999993,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,1.0409586076789066,nf10k
41,300,59.0,-37.5,0,0,Methanol,1.54,10.0,22,CO,OC1CCCC2=C1C=CC=C2,OC1CCCC2=C1C=CC=C2,Unknown,0.79,148.20499999999998,2.0563000000000002,148.20499999999998,2.0563000000000002,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.6757175447023074,nf10k
42,150,59.0,0.0,0,1,Acetone,4.81,30.0,25,CC(=O)C,CC(OCC(C)OCC(C)O)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,CC(OCC(C)OCC(C)O)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,Unknown,0.95,1121.5349999999996,6.651300000000021,1121.5349999999996,6.651300000000021,0.5,58.08,-0.24,0.32,784.0,20.7,15.5,10.4,7.0,74.0,1,0,0,0,0,0,0,0,DM150,0,1,DE,1.2924298239020633,nf10k
43,500,82.0,0.0,0,1,Toluene,1.362433862,20.0,22,CC1=CC=CC=C1,CC1=C(OC)C=C(C)C(Br)=C1,CC1=C(OC)C=C(C)C(Br)=C1,Unknown,0.141632104,215.08999999999997,3.0745400000000016,215.08999999999997,3.0745400000000016,0.5,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,1,0,0,SS336,1,0,CF,0.06582087458797234,nf10k
44,300,59.0,-37.5,0,0,Methanol,1.23,20.0,22,CO,O=C1N(C2=CC=C(S(=O)(O)=O)C=C2)N=C(C(O)=O)C1N=NC3=CC=C(S(=O)(O)=O)C=C3,O=C1N(C2=CC=C(S(=O)(O)=O)C=C2)N=C(C(O)=O)C1N=NC3=CC=C(S(=O)(O)=O)C=C3,Unknown,1.0,468.4250000000001,1.1196999999999997,468.4250000000001,1.1196999999999997,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,3.0,nf10k
45,300,59.0,-37.5,0,0,Methanol,1.23,20.0,22,CO,CCCC(CO1)OC1(C2=C(Cl)C=C(Cl)C=C2)CN3N=CN=C3,CCCC(CO1)OC1(C2=C(Cl)C=C(Cl)C=C2)CN3N=CN=C3,Unknown,0.98,342.22600000000006,3.653400000000002,342.22600000000006,3.653400000000002,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,1.6777807052660803,nf10k
46,300,59.0,-37.5,0,0,Methanol,1.23,20.0,22,CO,O=C(C)NC1=CC=C(O)C=C1,O=C(C)NC1=CC=C(O)C=C1,Unknown,0.69,151.165,1.3505999999999998,151.165,1.3505999999999998,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.5072396109731624,nf10k
47,150,59.0,0.0,0,1,Methanol,0.7475,20.0,22,CO,C12=CC=CC=C1NC=N2,C12=CC=CC=C1NC=N2,Unknown,0.78,118.139,1.5628999999999997,118.139,1.5628999999999997,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,1,0,0,0,0,0,0,0,DM150,1,0,CF,0.6556077263148894,nf10k
48,300,87.0,-8.0,0,0,2-Methyltetrahydrofuran,48.05898411,20.0,22,CC1CCCO1,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,Unknown,0.351755086,228.247,2.6318000000000006,228.247,2.6318000000000006,0.5,86.134,0.16,0.47,854.0,7.0,16.9,5.0,4.3,100.2,0,0,0,1,0,0,0,0,GMT-oNF-2,1,0,CF,0.1875914438247846,nf10k
49,150,59.0,0.0,0,1,Acetonitrile,0.87,40.0,25,C(C)#N,CC1=CC(=CC(=C1N)S(=O)(=O)[O-])/C(=C\2/C=CC(=[NH2+])C(=C2)S(=O)(=O)[O-])/C3=CC(=C(C=C3)N)S(=O)(=O)[O-].[Na+].[Na+],CC1=CC(=CC(=C1N)S(=O)(=O)[O-])/C(=C\2/C=CC(=[NH2+])C(=C2)S(=O)(=O)[O-])/C3=CC(=C(C=C3)N)S(=O)(=O)[O-].[Na+].[Na+],Unknown,0.995,585.5490000000003,-7.023480000000003,585.5490000000003,-7.023480000000003,0.5,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1,0,0,0,0,0,0,0,DM150,0,1,DE,2.221848749616356,nf10k
50,150,59.0,0.0,0,1,Methanol,4.81,5.0,21,CO,C1=CC=C2C=CC=CC2=C1,C1=CC=C2C=CC=CC2=C1,Unknown,0.3,128.17399999999995,2.839800000000001,128.17399999999995,2.839800000000001,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,1,0,0,0,0,0,0,0,DM150,1,0,CF,0.15428198203334137,nf10k
51,300,59.0,-37.5,0,0,2-propanol,0.066137566,20.0,22,C(C)(C)O,NC1=CC=C(Cl)C(Cl)=C1,NC1=CC=C(Cl)C(Cl)=C1,Unknown,0.160778983,162.019,2.5756000000000006,162.019,2.5756000000000006,0.5,60.096,0.05,2.27,785.0,18.6,15.8,6.1,16.4,76.8,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.07560645936911904,nf10k
52,300,87.0,-8.0,0,0,n-Heptane,7.156084656,20.0,22,CCCCCCC,COc1ccc(I)cc1,COc1ccc(I)cc1,Unknown,0.038792698,234.036,2.2998000000000003,234.036,2.2998000000000003,0.5,100.205,4.39,0.39,684.0,1.92,15.3,0.0,0.0,147.4,0,0,0,1,0,0,0,0,GMT-oNF-2,1,0,CF,0.01673135164643118,nf10k
53,300,59.0,-37.5,0,0,Methyl tert-butyl ether,0.42,20.0,22,CC(C)(C)OC,Nc1ccc2[nH]ccc2c1,Nc1ccc2[nH]ccc2c1,Unknown,-0.412649664,132.166,1.7500999999999998,132.166,1.7500999999999998,0.5,88.15,1.06,0.36,740.0,2.6,14.8,4.3,5.0,119.8,0,1,0,0,0,0,0,0,DM300,1,0,CF,-0.15034179429601224,nf10k
54,150,59.0,0.0,0,1,Acetone,4.81,30.0,25,CC(=O)C,CC(OCC(C)OCC(C)O)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,CC(OCC(C)OCC(C)O)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,Unknown,0.95,773.0550000000001,4.2207000000000106,773.0550000000001,4.2207000000000106,0.5,58.08,-0.24,0.32,784.0,20.7,15.5,10.4,7.0,74.0,1,0,0,0,0,0,0,0,DM150,0,1,DE,1.2924298239020633,nf10k
