id,doi,year,journal,membrane_detailed,membrane,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,membrane_type,solute_name,secondary_solute_name,secondary_solute_ratio,solvent,pressure,flux_lmh,permeance,rejection,temperature,process_configuration,exclude,solute_smiles,secondary_solute_smiles,loss_weight,solute_category,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,batch,date,solute_identifier,secondary_solute_identifier,source
10,10.1002/cplu.201300112,2013.0,ChemPlusChem,SM122,SM122,SM,220,-1.0,0.0,1,1,,Hoveyda-Grubbs precatalyst 3,Hoveyda-Grubbs precatalyst 3,0.5,Toluene,40.0,2.4,0.06,0.993,30.0,CF,0,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCC45CC6CC(CC(C5)C6)C4)cc3C)c7c(C)cc(OCC89CC%10CC(CC(C9)C%10)C8)cc7C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCC45CC6CC(CC(C5)C6)C4)cc3C)c7c(C)cc(OCC89CC%10CC(CC(C9)C%10)C8)cc7C,1.0,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,927.0759999999992,12.62387999999998,927.0759999999992,12.62387999999998,,,,,cat
11,10.1002/cplu.201300112,2013.0,ChemPlusChem,SM122,SM122,SM,220,-1.0,0.0,1,1,,Hoveyda-Grubbs precatalyst 4,Hoveyda-Grubbs precatalyst 4,0.5,Toluene,40.0,2.4,0.06,0.996,30.0,CF,0,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCCOCCOC)cc3C)c4c(C)cc(OCCOCCOC)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCCOCCOC)cc3C)c4c(C)cc(OCCOCCOC)cc4C,1.0,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,834.8439999999996,7.517080000000009,834.8439999999996,7.517080000000009,,,,,cat
12,10.1002/cssc.200800152,2008.0,ChemSusChem,SM228,SM228,SM,228,-1.0,0.0,1,1,,Hoveyda-Grubbs II,Hoveyda-Grubbs II,0.5,Toluene,25.0,8.6,0.344,0.65,25.0,CF,0,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,1.0,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,626.634,8.050320000000008,626.634,8.050320000000008,,,,,cat
13,10.1002/cssc.200800152,2008.0,ChemSusChem,SM228,SM228,SM,228,-1.0,0.0,1,1,,Hoveyda-Grubbs II,Hoveyda-Grubbs II,0.5,Dimethyl carbonate,25.0,,0.239,0.7,25.0,CF,0,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,1.0,metal_catalyst,C(OC)(OC)=O,90.078,0.35,0.644,1069.0,3.1,15.5,3.9,9.7,84.2,626.634,8.050320000000008,626.634,8.050320000000008,,,,,cat
14,10.1002/cssc.200800152,2008.0,ChemSusChem,SM228,SM228,SM,228,-1.0,0.0,1,1,,Hoveyda-Grubbs II,Hoveyda-Grubbs II,0.5,Methanol,25.0,,1.2,0.72,25.0,CF,0,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,1.0,metal_catalyst,CO,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,626.634,8.050320000000008,626.634,8.050320000000008,,,,,cat
15,10.1002/cssc.200800152,2008.0,ChemSusChem,SM228,SM228,SM,228,-1.0,0.0,1,1,,Hoveyda-Grubbs II complex 2,Hoveyda-Grubbs II complex 2,0.5,Toluene,25.0,8.6,0.344,0.82,25.0,CF,0,CC(C)Oc1ccc(c2c(C)cccc2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,CC(C)Oc1ccc(c2c(C)cccc2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,1.0,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,716.7589999999998,10.025739999999997,716.7589999999998,10.025739999999997,,,,,cat
16,10.1002/cssc.200800152,2008.0,ChemSusChem,SM228,SM228,SM,228,-1.0,0.0,1,1,,Hoveyda-Grubbs II complex 2,Hoveyda-Grubbs II complex 2,0.5,Dimethyl carbonate,25.0,,0.239,0.8,25.0,CF,0,CC(C)Oc1ccc(c2c(C)cccc2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,CC(C)Oc1ccc(c2c(C)cccc2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,1.0,metal_catalyst,C(OC)(OC)=O,90.078,0.35,0.644,1069.0,3.1,15.5,3.9,9.7,84.2,716.7589999999998,10.025739999999997,716.7589999999998,10.025739999999997,,,,,cat
17,10.1002/cssc.200800152,2008.0,ChemSusChem,SM228,SM228,SM,228,-1.0,0.0,1,1,,Hoveyda-Grubbs II complex 3,Hoveyda-Grubbs II complex 3,0.5,Toluene,25.0,8.6,0.344,0.92,25.0,CF,0,CC(C)Oc1ccc(c2cc(C(C)(C)C)c(OCCCC)c(C(C)(C)C)c2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,CC(C)Oc1ccc(c2cc(C(C)(C)C)c(OCCCC)c(C(C)(C)C)c2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,1.0,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,887.0549999999995,13.491219999999977,887.0549999999995,13.491219999999977,,,,,cat
18,10.1002/cssc.200800152,2008.0,ChemSusChem,SM228,SM228,SM,228,-1.0,0.0,1,1,,Hoveyda-Grubbs II complex 3,Hoveyda-Grubbs II complex 3,0.5,Dimethyl carbonate,25.0,,0.239,0.92,25.0,CF,0,CC(C)Oc1ccc(c2cc(C(C)(C)C)c(OCCCC)c(C(C)(C)C)c2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,CC(C)Oc1ccc(c2cc(C(C)(C)C)c(OCCCC)c(C(C)(C)C)c2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,1.0,metal_catalyst,C(OC)(OC)=O,90.078,0.35,0.644,1069.0,3.1,15.5,3.9,9.7,84.2,887.0549999999995,13.491219999999977,887.0549999999995,13.491219999999977,,,,,cat
19,10.1002/jctb.6109,2019.0,Journal of Chemical Technology & Biotechnology,SM122,SM122,SM,220,-1.0,0.0,1,1,,Hoveyda-Grubbs Catalyst M700,Hoveyda-Grubbs Catalyst M700,0.5,Ethyl acetate,20.0,266.0,13.3,0.97,23.0,CF,0,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,1.0,metal_catalyst,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,600.6170000000005,10.016299999999994,600.6170000000005,10.016299999999994,,,,,cat
20,10.1002/jctb.6109,2019.0,Journal of Chemical Technology & Biotechnology,SM122,SM122,SM,220,-1.0,0.0,1,1,,Grubbs Catalyst,Grubbs Catalyst,0.5,Ethyl acetate,20.0,167.2,8.36,0.94,23.0,CF,0,Cl[Ru](=Cc1ccccc1OC(C)C(C)=O)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,Cl[Ru](=Cc1ccccc1OC(C)C(C)=O)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,1.0,metal_catalyst,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,654.6440000000001,7.619420000000009,654.6440000000001,7.619420000000009,,,,,cat
21,10.1002/jctb.6109,2019.0,Journal of Chemical Technology & Biotechnology,SS126S,SS126S,SS,300,-1.0,0.0,1,1,,Hoveyda-Grubbs Catalyst M700,Hoveyda-Grubbs Catalyst M700,0.5,Ethyl acetate,20.0,34.0,1.7,0.96,23.0,CF,0,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,1.0,metal_catalyst,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,600.6170000000005,10.016299999999994,600.6170000000005,10.016299999999994,,,,,cat
22,10.1002/jctb.6109,2019.0,Journal of Chemical Technology & Biotechnology,SS136,SS136,SS,500,-1.0,0.0,1,1,,Hoveyda-Grubbs Catalyst M700,Hoveyda-Grubbs Catalyst M700,0.5,Ethyl acetate,20.0,42.0,2.1,0.9,23.0,CF,0,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,1.0,metal_catalyst,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,600.6170000000005,10.016299999999994,600.6170000000005,10.016299999999994,,,,,cat
23,10.1016/j.ces.2014.03.029,2014.0,Chemical Engineering Science,GMT2,GMT-oNF-2,GMT-oNF,300,87.0,-8.0,0,0,,Triphenylphosphine,Triphenylphosphine,0.5,2-propanol,30.0,7.8,0.26,0.663,25.0,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,1.0,ligand,C(C)(C)O,60.096,0.05,2.27,785.0,18.6,15.8,6.1,16.4,76.8,262.292,3.4448000000000016,262.292,3.4448000000000016,,,,,cat
24,10.1016/j.ces.2014.03.029,2014.0,Chemical Engineering Science,PM280,PM280,PM,280,-1.0,0.0,1,1,,Triphenylphosphine,Triphenylphosphine,0.5,2-propanol,30.0,12.2,0.406666667,0.828,25.0,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,1.0,ligand,C(C)(C)O,60.096,0.05,2.27,785.0,18.6,15.8,6.1,16.4,76.8,262.292,3.4448000000000016,262.292,3.4448000000000016,,,,,cat
25,10.1016/j.ces.2014.03.029,2014.0,Chemical Engineering Science,GMT2,GMT-oNF-2,GMT-oNF,300,87.0,-8.0,0,0,,Triphenylphosphine,Triphenylphosphine,0.5,Dimethyl carbonate,30.0,18.1,0.603333333,0.581,25.0,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,1.0,ligand,C(OC)(OC)=O,90.078,0.35,0.644,1069.0,3.1,15.5,3.9,9.7,84.2,262.292,3.4448000000000016,262.292,3.4448000000000016,,,,,cat
26,10.1016/j.ces.2014.03.029,2014.0,Chemical Engineering Science,PM280,PM280,PM,280,-1.0,0.0,1,1,,Triphenylphosphine,Triphenylphosphine,0.5,Dimethyl carbonate,30.0,49.9,1.663333333,0.884,25.0,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,1.0,ligand,C(OC)(OC)=O,90.078,0.35,0.644,1069.0,3.1,15.5,3.9,9.7,84.2,262.292,3.4448000000000016,262.292,3.4448000000000016,,,,,cat
27,10.1016/j.ces.2014.03.029,2014.0,Chemical Engineering Science,GMT2,GMT-oNF-2,GMT-oNF,300,87.0,-8.0,0,0,,Triphenylphosphine,Triphenylphosphine,0.5,n-Hexanal,30.0,24.2,0.806666667,0.389,25.0,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,1.0,ligand,C(CCC)CC=O,100.161,1.7656,1.4,810.0,10.0,15.8,8.5,5.4,120.2,262.292,3.4448000000000016,262.292,3.4448000000000016,,,,,cat
28,10.1016/j.ces.2014.03.029,2014.0,Chemical Engineering Science,PM280,PM280,PM,280,-1.0,0.0,1,1,,Triphenylphosphine,Triphenylphosphine,0.5,n-Hexanal,30.0,18.3,0.748466258,0.734,25.0,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,1.0,ligand,C(CCC)CC=O,100.161,1.7656,1.4,810.0,10.0,15.8,8.5,5.4,120.2,262.292,3.4448000000000016,262.292,3.4448000000000016,,,,,cat
29,10.1016/j.ces.2014.03.029,2014.0,Chemical Engineering Science,GMT2,GMT-oNF-2,GMT-oNF,300,87.0,-8.0,0,0,,Triphenylphosphine,Triphenylphosphine,0.5,n-Hexane,30.0,99.8,3.326666667,0.59,25.0,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,1.0,ligand,C(CCC)CC,86.178,3.9,0.3,661.0,1.88,14.9,0.0,0.0,131.6,262.292,3.4448000000000016,262.292,3.4448000000000016,,,,,cat
30,10.1016/j.ces.2014.03.029,2014.0,Chemical Engineering Science,PM280,PM280,PM,280,-1.0,0.0,1,1,,Triphenylphosphine,Triphenylphosphine,0.5,n-Hexane,30.0,20.3,0.676666667,0.571,25.0,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,1.0,ligand,C(CCC)CC,86.178,3.9,0.3,661.0,1.88,14.9,0.0,0.0,131.6,262.292,3.4448000000000016,262.292,3.4448000000000016,,,,,cat
31,10.1016/j.ces.2014.03.029,2014.0,Chemical Engineering Science,GMT2,GMT-oNF-2,GMT-oNF,300,87.0,-8.0,0,0,,Triphenylphosphine,Triphenylphosphine,0.5,Toluene,30.0,57.9,1.93,0.905,25.0,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,1.0,ligand,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,262.292,3.4448000000000016,262.292,3.4448000000000016,,,,,cat
32,10.1016/j.ces.2014.03.029,2014.0,Chemical Engineering Science,PM280,PM280,PM,280,-1.0,0.0,1,1,,Triphenylphosphine,Triphenylphosphine,0.5,Toluene,30.0,41.6,1.386666667,0.967,25.0,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,1.0,ligand,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,262.292,3.4448000000000016,262.292,3.4448000000000016,,,,,cat
33,10.1016/j.cherd.2017.03.015,2017.0,Chemical Engineering Research and Design,SM240,SM240,SM,400,-1.0,0.0,1,1,,Co(C5H7O2)3,Co(C5H7O2)3,0.5,1-Decene,30.0,36.0,1.621621622,0.879,20.0,DE,0,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,1.0,metal_catalyst,C(CCCC=C)CCCC,140.27,3.923,0.815,741.0,2.7,15.8,1.0,2.2,190.6,356.2600000000001,4.209170000000004,356.2600000000001,4.209170000000004,,,,,cat
34,10.1016/j.cherd.2017.03.015,2017.0,Chemical Engineering Research and Design,SM240,SM240,SM,400,-1.0,0.0,1,1,,HRh(CO)(PPh3)3,HRh(CO)(PPh3)3,0.5,1-Nonanal,30.0,18.0,0.725513906,0.98,20.0,DE,0,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,1.0,metal_catalyst,C(CCCC=O)CCCC,142.242,3.3,1.4,826.0,8.83,16.1,5.5,3.9,172.2,919.8080000000002,9.7901,919.8080000000002,9.7901,,,,,cat
35,10.1016/j.cherd.2017.03.015,2017.0,Chemical Engineering Research and Design,SM240,SM240,SM,400,-1.0,0.0,1,1,,HRh(CO)(PPh3)3,HRh(CO)(PPh3)3,0.5,1-Nonanol,30.0,3.6,0.144752714,0.98,20.0,DE,0,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,1.0,metal_catalyst,C(CCCCO)CCCC,144.258,3.77,11.7,822.0,8.248,16.0,4.8,10.6,174.4,919.8080000000002,9.7901,919.8080000000002,9.7901,,,,,cat
36,10.1016/j.cherd.2017.03.015,2017.0,Chemical Engineering Research and Design,SM240,SM240,SM,400,-1.0,0.0,1,1,,HRh(CO)(PPh3)3,HRh(CO)(PPh3)3,0.5,1-Octene,20.0,59.4,4.142259414,0.98,20.0,DE,0,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,1.0,metal_catalyst,C(CCC=C)CCC,112.216,4.47,0.737,715.0,2.1,15.3,1.0,2.4,158.0,919.8080000000002,9.7901,919.8080000000002,9.7901,,,,,cat
37,10.1016/j.cherd.2017.03.015,2017.0,Chemical Engineering Research and Design,SM240,SM240,SM,400,-1.0,0.0,1,1,,Co(C5H7O2)3,Co(C5H7O2)3,0.5,1-Octene,20.0,59.4,4.142259414,0.879,20.0,DE,0,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,1.0,metal_catalyst,C(CCC=C)CCC,112.216,4.47,0.737,715.0,2.1,15.3,1.0,2.4,158.0,356.2600000000001,4.209170000000004,356.2600000000001,4.209170000000004,,,,,cat
