SMILES,[Toxicity/AMES Mutagenesis] Predictions,[Toxicity/AMES Mutagenesis] Probability,[Toxicity/AMES Mutagenesis] Interpretation,[Toxicity/Avian] Predictions,[Toxicity/Avian] Probability,[Toxicity/Avian] Interpretation,[Toxicity/Bee] Predictions,[Toxicity/Bee] Probability,[Toxicity/Bee] Interpretation,[Toxicity/Bioconcentration Factor] Predictions,[Toxicity/Bioconcentration Factor] Interpretation,[Toxicity/Biodegradation] Predictions,[Toxicity/Biodegradation] Probability,[Toxicity/Biodegradation] Interpretation,[Toxicity/Carcinogenesis] Predictions,[Toxicity/Carcinogenesis] Probability,[Toxicity/Carcinogenesis] Interpretation,[Toxicity/Crustacean] Predictions,[Toxicity/Crustacean] Probability,[Toxicity/Crustacean] Interpretation,[Toxicity/Liver Injury I (DILI)] Predictions,[Toxicity/Liver Injury I (DILI)] Probability,[Toxicity/Liver Injury I (DILI)] Interpretation,[Toxicity/Eye Corrosion] Predictions,[Toxicity/Eye Corrosion] Probability,[Toxicity/Eye Corrosion] Interpretation,[Toxicity/Eye irritation] Predictions,[Toxicity/Eye irritation] Probability,[Toxicity/Eye irritation] Interpretation,[Toxicity/Maximum Tolerated Dose] Predictions,[Toxicity/Maximum Tolerated Dose] Interpretation,[Toxicity/Liver Injury II] Predictions,[Toxicity/Liver Injury II] Probability,[Toxicity/Liver Injury II] Interpretation,[Toxicity/hERG Blockers] Predictions,[Toxicity/hERG Blockers] Probability,[Toxicity/hERG Blockers] Interpretation,[Toxicity/Daphnia Maga] Predictions,[Toxicity/Daphnia Maga] Interpretation,[Toxicity/Micronucleos] Predictions,[Toxicity/Micronucleos] Probability,[Toxicity/Micronucleos] Interpretation,[Toxicity/NR-AhR] Predictions,[Toxicity/NR-AhR] Probability,[Toxicity/NR-AhR] Interpretation,[Toxicity/NR-AR] Predictions,[Toxicity/NR-AR] Probability,[Toxicity/NR-AR] Interpretation,[Toxicity/NR-AR-LBD] Predictions,[Toxicity/NR-AR-LBD] Probability,[Toxicity/NR-AR-LBD] Interpretation,[Toxicity/NR-Aromatase] Predictions,[Toxicity/NR-Aromatase] Probability,[Toxicity/NR-Aromatase] Interpretation,[Toxicity/NR-ER] Predictions,[Toxicity/NR-ER] Probability,[Toxicity/NR-ER] Interpretation,[Toxicity/NR-ER-LBD] Predictions,[Toxicity/NR-ER-LBD] Probability,[Toxicity/NR-ER-LBD] Interpretation,[Toxicity/NR-GR] Predictions,[Toxicity/NR-GR] Probability,[Toxicity/NR-GR] Interpretation,[Toxicity/NR-PPAR-gamma] Predictions,[Toxicity/NR-PPAR-gamma] Probability,[Toxicity/NR-PPAR-gamma] Interpretation,[Toxicity/NR-TR] Predictions,[Toxicity/NR-TR] Probability,[Toxicity/NR-TR] Interpretation,[Toxicity/T. Pyriformis] Predictions,[Toxicity/T. Pyriformis] Interpretation,[Toxicity/Rat (Acute)] Predictions,[Toxicity/Rat (Acute)] Interpretation,[Toxicity/Rat (Chronic Oral)] Predictions,[Toxicity/Rat (Chronic Oral)] Interpretation,[Toxicity/Fathead Minnow] Predictions,[Toxicity/Fathead Minnow] Interpretation,[Toxicity/Respiratory Disease] Predictions,[Toxicity/Respiratory Disease] Probability,[Toxicity/Respiratory Disease] Interpretation,[Toxicity/Skin Sensitisation] Predictions,[Toxicity/Skin Sensitisation] Probability,[Toxicity/Skin Sensitisation] Interpretation,[Toxicity/SR-ARE] Predictions,[Toxicity/SR-ARE] Probability,[Toxicity/SR-ARE] Interpretation,[Toxicity/SR-ATAD5] Predictions,[Toxicity/SR-ATAD5] Probability,[Toxicity/SR-ATAD5] Interpretation,[Toxicity/SR-HSE] Predictions,[Toxicity/SR-HSE] Probability,[Toxicity/SR-HSE] Interpretation,[Toxicity/SR-MMP] Predictions,[Toxicity/SR-MMP] Probability,[Toxicity/SR-MMP] Interpretation,[Toxicity/SR-p53] Predictions,[Toxicity/SR-p53] Probability,[Toxicity/SR-p53] Interpretation
Cc1ccc([C@@H](C)Nc2c(NC(=O)c3ccc(Cl)nc3)c(=O)c(=O)c2=O)cc1,Safe,0.023,Safe  (High Confidence),Safe,0.038,Safe  (High Confidence),Safe,0.422,Safe  (Low Confidence),0.520,None,Safe,0.001,Safe  (High Confidence),Safe,0.206,Safe  (Medium Confidence),Toxic,0.941,Toxic  (High Confidence),Toxic,0.666,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.018,Safe  (High Confidence),1.380,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.757,Toxic  (Medium Confidence),Safe,0.016,Safe  (High Confidence),5.680,None,Toxic,0.983,Toxic  (High Confidence),Safe,0.285,Safe  (Medium Confidence),Safe,0.034,Safe  (High Confidence),Safe,0.091,Safe  (High Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.028,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.313,Safe  (Medium Confidence),Safe,0.036,Safe  (High Confidence),Safe,0.007,Safe  (High Confidence),-7.980,PIGC50% > -0.5 log ug/L: toxic,2.370,None,1.960,None,4.740,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.129,Safe  (High Confidence),Safe,0.480,Safe  (Low Confidence),Toxic,0.743,Toxic  (Medium Confidence),Safe,0.089,Safe  (High Confidence),Safe,0.097,Safe  (High Confidence),Toxic,0.819,Toxic  (Medium Confidence),Safe,0.002,Safe  (High Confidence)
C#CCNS(=O)(=O)NC(=O)c1c(F)cccc1F,Toxic,0.994,Toxic  (High Confidence),Safe,0.020,Safe  (High Confidence),Safe,0.400,Safe  (Low Confidence),0.220,None,Safe,0.145,Safe  (High Confidence),Safe,0.146,Safe  (High Confidence),Safe,0.352,Safe  (Low Confidence),Safe,0.329,Safe  (Medium Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.026,Safe  (High Confidence),0.820,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.712,Toxic  (Medium Confidence),Safe,0.004,Safe  (High Confidence),6.180,None,Toxic,0.978,Toxic  (High Confidence),Safe,0.010,Safe  (High Confidence),Safe,0.036,Safe  (High Confidence),Safe,0.010,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.045,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),2.820,PIGC50% > -0.5 log ug/L: toxic,2.630,None,2.140,None,4.020,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.977,Toxic  (High Confidence),Safe,0.482,Safe  (Low Confidence),Safe,0.055,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.062,Safe  (High Confidence)
COc1ccc(CNc2c(NS(=O)c3c(C(C)C)cc(C(C)C)cc3C(C)C)c(=S)c2=S)cc1,Safe,0.008,Safe  (High Confidence),Safe,0.071,Safe  (High Confidence),Toxic,0.835,Toxic  (High Confidence),1.580,None,Safe,0.000,Safe  (High Confidence),Safe,0.062,Safe  (High Confidence),Toxic,0.996,Toxic  (High Confidence),Toxic,0.534,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.098,Safe  (High Confidence),0.070,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.658,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),7.120,None,Toxic,0.833,Toxic  (Medium Confidence),Safe,0.217,Safe  (Medium Confidence),Safe,0.109,Safe  (High Confidence),Safe,0.030,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0.051,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.429,Safe  (Low Confidence),Safe,0.020,Safe  (High Confidence),Toxic,0.992,Toxic  (High Confidence),-116.560,PIGC50% > -0.5 log ug/L: toxic,2.420,None,2.220,None,5.880,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.488,Safe  (Low Confidence),Toxic,0.695,Toxic  (Medium Confidence),Safe,0.034,Safe  (High Confidence),Safe,0.010,Safe  (High Confidence),Safe,0.065,Safe  (High Confidence),Toxic,0.505,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence)
C[C@@H](O[Si](C)(C)C)[C@H](CP(c1ccccc1)c1ccccc1)NC(=O)Nc1nonc1CO,Safe,0.060,Safe  (High Confidence),Safe,0.198,Safe  (Medium Confidence),Toxic,0.787,Toxic  (Medium Confidence),0.940,None,Safe,0.000,Safe  (High Confidence),Safe,0.129,Safe  (High Confidence),Toxic,0.937,Toxic  (High Confidence),Safe,0.432,Safe  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.014,Safe  (High Confidence),0.700,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.775,Toxic  (Medium Confidence),Toxic,0.848,Toxic  (High Confidence),7.360,None,Toxic,0.995,Toxic  (High Confidence),Safe,0.072,Safe  (High Confidence),Safe,0.068,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.017,Safe  (High Confidence),Safe,0.022,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.247,Safe  (Medium Confidence),Safe,0.016,Safe  (High Confidence),Toxic,0.618,Toxic  (Low Confidence),-126.730,PIGC50% > -0.5 log ug/L: toxic,2.580,None,1.430,None,5.040,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.992,Toxic  (High Confidence),Toxic,0.587,Toxic  (Low Confidence),Toxic,0.670,Toxic  (Medium Confidence),Safe,0.024,Safe  (High Confidence),Safe,0.027,Safe  (High Confidence),Toxic,0.517,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence)
C=CCN(CC=C)[C@@H]1CCCC[C@H]1Nc1c(Nc2ccccc2NC(=O)c2ccccc2)c(=S)c1=S,Safe,0.049,Safe  (High Confidence),Safe,0.031,Safe  (High Confidence),Toxic,0.650,Toxic  (Low Confidence),0.840,None,Safe,0.000,Safe  (High Confidence),Safe,0.137,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,0.588,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.007,Safe  (High Confidence),0.480,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.753,Toxic  (Medium Confidence),Safe,0.039,Safe  (High Confidence),5.610,None,Toxic,0.992,Toxic  (High Confidence),Safe,0.491,Safe  (Low Confidence),Safe,0.107,Safe  (High Confidence),Safe,0.035,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0.092,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.425,Safe  (Low Confidence),Safe,0.014,Safe  (High Confidence),Toxic,0.604,Toxic  (Low Confidence),-743.290,PIGC50% > -0.5 log ug/L: toxic,2.250,None,2.040,None,6.250,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.939,Toxic  (High Confidence),Toxic,0.627,Toxic  (Low Confidence),Toxic,0.728,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.540,Toxic  (Low Confidence),Toxic,0.800,Toxic  (Medium Confidence),Safe,0.002,Safe  (High Confidence)
O=c1oc2cc(O)ccc2cc1Nc1c(Nc2cccc(/N=N/c3cccc([N+](=O)[O-])c3)c2)c(=O)c(=O)c1=O,Toxic,0.999,Toxic  (High Confidence),Safe,0.185,Safe  (Medium Confidence),Safe,0.473,Safe  (Low Confidence),0.650,None,Safe,0.000,Safe  (High Confidence),Toxic,0.667,Toxic  (Medium Confidence),Toxic,0.997,Toxic  (High Confidence),Toxic,0.993,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.364,Safe  (Low Confidence),0.580,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.948,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),6.870,None,Toxic,1.000,Toxic  (High Confidence),Toxic,0.982,Toxic  (High Confidence),Safe,0.353,Safe  (Low Confidence),Safe,0.135,Safe  (High Confidence),Safe,0.062,Safe  (High Confidence),Toxic,0.703,Toxic  (Medium Confidence),Safe,0.179,Safe  (Medium Confidence),Toxic,0.938,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.552,Toxic  (Low Confidence),-3312.720,PIGC50% > -0.5 log ug/L: toxic,1.650,None,2.610,None,16.870,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.003,Safe  (High Confidence),Toxic,0.562,Toxic  (Low Confidence),Toxic,0.965,Toxic  (High Confidence),Safe,0.205,Safe  (Medium Confidence),Safe,0.284,Safe  (Medium Confidence),Toxic,0.976,Toxic  (High Confidence),Safe,0.443,Safe  (Low Confidence)
CC(C)(C)[C@H](Nc1c(Nc2ccc(-c3ccc(I)cc3)cc2)c(=S)c1=S)C(=O)N1CCC[C@@H]1c1ccccc1,Safe,0.002,Safe  (High Confidence),Safe,0.053,Safe  (High Confidence),Toxic,0.759,Toxic  (Medium Confidence),2.170,None,Safe,0.000,Safe  (High Confidence),Safe,0.127,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,0.604,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),0.490,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.749,Toxic  (Medium Confidence),Toxic,0.691,Toxic  (Medium Confidence),7.650,None,Toxic,0.994,Toxic  (High Confidence),Toxic,0.608,Toxic  (Low Confidence),Safe,0.132,Safe  (High Confidence),Safe,0.014,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.120,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.526,Toxic  (Low Confidence),Safe,0.008,Safe  (High Confidence),Toxic,0.959,Toxic  (High Confidence),-3434.970,PIGC50% > -0.5 log ug/L: toxic,2.330,None,1.720,None,15.120,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.575,Toxic  (Low Confidence),Toxic,0.754,Toxic  (Medium Confidence),Safe,0.202,Safe  (Medium Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.275,Safe  (Medium Confidence),Toxic,0.850,Toxic  (High Confidence),Toxic,0.875,Toxic  (High Confidence)
O=S(=O)(Nc1nc[nH]n1)Nc1ccccc1C#Cc1ccccc1B(O)O,Safe,0.123,Safe  (High Confidence),Safe,0.009,Safe  (High Confidence),Safe,0.161,Safe  (High Confidence),-1.040,None,Safe,0.000,Safe  (High Confidence),Safe,0.145,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),Toxic,0.823,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.013,Safe  (High Confidence),0.640,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.855,Toxic  (High Confidence),Safe,0.003,Safe  (High Confidence),2.820,None,Toxic,1.000,Toxic  (High Confidence),Safe,0.159,Safe  (High Confidence),Safe,0.071,Safe  (High Confidence),Safe,0.010,Safe  (High Confidence),Safe,0.010,Safe  (High Confidence),Safe,0.028,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.047,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),-7.210,PIGC50% > -0.5 log ug/L: toxic,2.310,None,2.530,None,4.380,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.888,Toxic  (High Confidence),Toxic,0.628,Toxic  (Low Confidence),Toxic,0.664,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0.301,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence)
Cc1cccc(C(C)C)c1Nc1c(Nc2ccc(OCCC(C)C)cc2)c1=O,Safe,0.010,Safe  (High Confidence),Safe,0.044,Safe  (High Confidence),Toxic,0.735,Toxic  (Medium Confidence),2.170,None,Safe,0.000,Safe  (High Confidence),Safe,0.274,Safe  (Medium Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,0.691,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.182,Safe  (Medium Confidence),0.210,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.696,Toxic  (Medium Confidence),Safe,0.026,Safe  (High Confidence),5.550,None,Toxic,0.853,Toxic  (High Confidence),Toxic,0.616,Toxic  (Low Confidence),Safe,0.113,Safe  (High Confidence),Safe,0.004,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.152,Safe  (High Confidence),Safe,0.004,Safe  (High Confidence),Toxic,0.524,Toxic  (Low Confidence),Safe,0.018,Safe  (High Confidence),Toxic,0.900,Toxic  (High Confidence),-8.730,PIGC50% > -0.5 log ug/L: toxic,2.160,None,2.160,None,4.850,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.971,Toxic  (High Confidence),Toxic,0.683,Toxic  (Medium Confidence),Toxic,0.580,Toxic  (Low Confidence),Safe,0.028,Safe  (High Confidence),Safe,0.242,Safe  (Medium Confidence),Toxic,0.663,Toxic  (Low Confidence),Safe,0.093,Safe  (High Confidence)
O=C(O)CCNC(=O)NC1([C@H]2CCCS2(=O)=O)CCCCC1,Safe,0.000,Safe  (High Confidence),Safe,0.021,Safe  (High Confidence),Toxic,0.902,Toxic  (High Confidence),-1.920,None,Safe,0.145,Safe  (High Confidence),Safe,0.313,Safe  (Medium Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.305,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.038,Safe  (High Confidence),0.050,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.715,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),2.840,None,Toxic,0.936,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.031,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.112,Safe  (High Confidence),Safe,0.015,Safe  (High Confidence),Safe,0.004,Safe  (High Confidence),-0.070,PIGC50% > -0.5 log ug/L: toxic,1.780,None,2.090,None,3.930,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.032,Safe  (High Confidence),Toxic,0.613,Toxic  (Low Confidence),Safe,0.059,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.055,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence)
C=C[C@@H]1CN2CC[C@H]1C[C@H]2[C@H](NC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@]1(C(=O)OCC)Cc2cc(Br)c(OC)cc2C1)c1ccnc2ccc(OC)cc12,Safe,0.000,Safe  (High Confidence),Toxic,0.942,Toxic  (High Confidence),Safe,0.487,Safe  (Low Confidence),-185.700,None,Safe,0.000,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),Toxic,0.998,Toxic  (High Confidence),Safe,0.287,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),-0.340,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.810,Toxic  (Medium Confidence),Toxic,1.000,Toxic  (High Confidence),4.200,None,Toxic,0.999,Toxic  (High Confidence),Safe,0.435,Safe  (Low Confidence),Safe,0.083,Safe  (High Confidence),Safe,0.116,Safe  (High Confidence),Safe,0.072,Safe  (High Confidence),Safe,0.020,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.303,Safe  (Medium Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.015,Safe  (High Confidence),-14169423.520,PIGC50% > -0.5 log ug/L: toxic,3.110,None,1.630,None,17891.990,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,1.000,Toxic  (High Confidence),Safe,0.213,Safe  (Medium Confidence),Toxic,0.932,Toxic  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),Toxic,0.897,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence)
CCOC(=O)c1cnn(C)c1S(=O)(=O)NS(=O)(=O)NC(=O)c1cc2ccccc2oc1=O,Safe,0.004,Safe  (High Confidence),Safe,0.046,Safe  (High Confidence),Safe,0.218,Safe  (Medium Confidence),-0.430,None,Safe,0.002,Safe  (High Confidence),Safe,0.034,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.491,Safe  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.007,Safe  (High Confidence),1.210,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.859,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),7.070,None,Toxic,1.000,Toxic  (High Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.034,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.012,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.011,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),-43.580,PIGC50% > -0.5 log ug/L: toxic,2.040,None,2.290,None,4.730,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.900,Toxic  (High Confidence),Safe,0.318,Safe  (Medium Confidence),Safe,0.044,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.009,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence)
CCCCc1cc(=O)[nH]c2nc(Nc3c(NC[C@@H]4CCC5=NN(c6ccccc6)[C]N54)c(=O)c3=O)ccc12,Safe,0.040,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Toxic,0.615,Toxic  (Low Confidence),-0.220,None,Safe,0.000,Safe  (High Confidence),Safe,0.208,Safe  (Medium Confidence),Toxic,0.997,Toxic  (High Confidence),Safe,0.010,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.009,Safe  (High Confidence),0.500,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.925,Toxic  (High Confidence),Safe,0.419,Safe  (Low Confidence),4.460,None,Toxic,1.000,Toxic  (High Confidence),Safe,0.030,Safe  (High Confidence),Safe,0.033,Safe  (High Confidence),Safe,0.013,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.091,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.008,Safe  (High Confidence),-3897.450,PIGC50% > -0.5 log ug/L: toxic,2.800,None,1.440,None,13.630,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,1.000,Toxic  (High Confidence),Toxic,0.559,Toxic  (Low Confidence),Safe,0.108,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.017,Safe  (High Confidence),Toxic,0.989,Toxic  (High Confidence),Safe,0.033,Safe  (High Confidence)
NC(=O)CCNS(=O)(=O)Nc1cccc(B(O)O)c1,Safe,0.044,Safe  (High Confidence),Safe,0.062,Safe  (High Confidence),Safe,0.366,Safe  (Low Confidence),-1.080,None,Safe,0.052,Safe  (High Confidence),Safe,0.169,Safe  (Medium Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.387,Safe  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),1.520,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.690,Toxic  (Medium Confidence),Safe,0.099,Safe  (High Confidence),4.410,None,Toxic,0.995,Toxic  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.057,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.065,Safe  (High Confidence),Safe,0.008,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),1.070,PIGC50% > -0.5 log ug/L: toxic,1.480,None,2.240,None,4.060,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.882,Toxic  (High Confidence),Safe,0.431,Safe  (Low Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence)
