SMILES,[Toxicity/AMES Mutagenesis] Predictions,[Toxicity/AMES Mutagenesis] Probability,[Toxicity/AMES Mutagenesis] Interpretation,[Toxicity/Avian] Predictions,[Toxicity/Avian] Probability,[Toxicity/Avian] Interpretation,[Toxicity/Bee] Predictions,[Toxicity/Bee] Probability,[Toxicity/Bee] Interpretation,[Toxicity/Bioconcentration Factor] Predictions,[Toxicity/Bioconcentration Factor] Interpretation,[Toxicity/Biodegradation] Predictions,[Toxicity/Biodegradation] Probability,[Toxicity/Biodegradation] Interpretation,[Toxicity/Carcinogenesis] Predictions,[Toxicity/Carcinogenesis] Probability,[Toxicity/Carcinogenesis] Interpretation,[Toxicity/Crustacean] Predictions,[Toxicity/Crustacean] Probability,[Toxicity/Crustacean] Interpretation,[Toxicity/Liver Injury I (DILI)] Predictions,[Toxicity/Liver Injury I (DILI)] Probability,[Toxicity/Liver Injury I (DILI)] Interpretation,[Toxicity/Eye Corrosion] Predictions,[Toxicity/Eye Corrosion] Probability,[Toxicity/Eye Corrosion] Interpretation,[Toxicity/Eye irritation] Predictions,[Toxicity/Eye irritation] Probability,[Toxicity/Eye irritation] Interpretation,[Toxicity/Maximum Tolerated Dose] Predictions,[Toxicity/Maximum Tolerated Dose] Interpretation,[Toxicity/Liver Injury II] Predictions,[Toxicity/Liver Injury II] Probability,[Toxicity/Liver Injury II] Interpretation,[Toxicity/hERG Blockers] Predictions,[Toxicity/hERG Blockers] Probability,[Toxicity/hERG Blockers] Interpretation,[Toxicity/Daphnia Maga] Predictions,[Toxicity/Daphnia Maga] Interpretation,[Toxicity/Micronucleos] Predictions,[Toxicity/Micronucleos] Probability,[Toxicity/Micronucleos] Interpretation,[Toxicity/NR-AhR] Predictions,[Toxicity/NR-AhR] Probability,[Toxicity/NR-AhR] Interpretation,[Toxicity/NR-AR] Predictions,[Toxicity/NR-AR] Probability,[Toxicity/NR-AR] Interpretation,[Toxicity/NR-AR-LBD] Predictions,[Toxicity/NR-AR-LBD] Probability,[Toxicity/NR-AR-LBD] Interpretation,[Toxicity/NR-Aromatase] Predictions,[Toxicity/NR-Aromatase] Probability,[Toxicity/NR-Aromatase] Interpretation,[Toxicity/NR-ER] Predictions,[Toxicity/NR-ER] Probability,[Toxicity/NR-ER] Interpretation,[Toxicity/NR-ER-LBD] Predictions,[Toxicity/NR-ER-LBD] Probability,[Toxicity/NR-ER-LBD] Interpretation,[Toxicity/NR-GR] Predictions,[Toxicity/NR-GR] Probability,[Toxicity/NR-GR] Interpretation,[Toxicity/NR-PPAR-gamma] Predictions,[Toxicity/NR-PPAR-gamma] Probability,[Toxicity/NR-PPAR-gamma] Interpretation,[Toxicity/NR-TR] Predictions,[Toxicity/NR-TR] Probability,[Toxicity/NR-TR] Interpretation,[Toxicity/T. Pyriformis] Predictions,[Toxicity/T. Pyriformis] Interpretation,[Toxicity/Rat (Acute)] Predictions,[Toxicity/Rat (Acute)] Interpretation,[Toxicity/Rat (Chronic Oral)] Predictions,[Toxicity/Rat (Chronic Oral)] Interpretation,[Toxicity/Fathead Minnow] Predictions,[Toxicity/Fathead Minnow] Interpretation,[Toxicity/Respiratory Disease] Predictions,[Toxicity/Respiratory Disease] Probability,[Toxicity/Respiratory Disease] Interpretation,[Toxicity/Skin Sensitisation] Predictions,[Toxicity/Skin Sensitisation] Probability,[Toxicity/Skin Sensitisation] Interpretation,[Toxicity/SR-ARE] Predictions,[Toxicity/SR-ARE] Probability,[Toxicity/SR-ARE] Interpretation,[Toxicity/SR-ATAD5] Predictions,[Toxicity/SR-ATAD5] Probability,[Toxicity/SR-ATAD5] Interpretation,[Toxicity/SR-HSE] Predictions,[Toxicity/SR-HSE] Probability,[Toxicity/SR-HSE] Interpretation,[Toxicity/SR-MMP] Predictions,[Toxicity/SR-MMP] Probability,[Toxicity/SR-MMP] Interpretation,[Toxicity/SR-p53] Predictions,[Toxicity/SR-p53] Probability,[Toxicity/SR-p53] Interpretation
n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8,Toxic,0.926,Toxic  (High Confidence),Toxic,0.858,Toxic  (High Confidence),Safe,0.426,Safe  (Low Confidence),-2.520,None,Safe,0.003,Safe  (High Confidence),Safe,0.387,Safe  (Low Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.141,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.927,Toxic  (High Confidence),-0.620,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.577,Toxic  (Low Confidence),Safe,0.490,Safe  (Low Confidence),7.760,None,Toxic,0.933,Toxic  (High Confidence),Toxic,0.730,Toxic  (Medium Confidence),Safe,0.033,Safe  (High Confidence),Safe,0.448,Safe  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.997,Toxic  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.046,Safe  (High Confidence),Safe,0.310,Safe  (Medium Confidence),-8077.550,PIGC50% > -0.5 log ug/L: toxic,2.150,None,1.710,None,27.890,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.029,Safe  (High Confidence),Toxic,0.968,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,0.978,Toxic  (High Confidence),Toxic,0.959,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,0.970,Toxic  (High Confidence)
n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,Toxic,1.000,Toxic  (High Confidence),Toxic,0.972,Toxic  (High Confidence),Safe,0.467,Safe  (Low Confidence),-2.560,None,Safe,0.000,Safe  (High Confidence),Safe,0.417,Safe  (Low Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,0.752,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.764,Toxic  (Medium Confidence),-0.130,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.868,Toxic  (High Confidence),Safe,0.019,Safe  (High Confidence),8.620,None,Toxic,0.997,Toxic  (High Confidence),Toxic,0.991,Toxic  (High Confidence),Safe,0.174,Safe  (Medium Confidence),Safe,0.080,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.353,Safe  (Low Confidence),Safe,0.008,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.018,Safe  (High Confidence),-277988.110,PIGC50% > -0.5 log ug/L: toxic,2.480,None,1.140,None,363.510,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.009,Safe  (High Confidence),Toxic,0.963,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,0.685,Toxic  (Medium Confidence),Toxic,0.900,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence)
n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,Toxic,1.000,Toxic  (High Confidence),Toxic,0.972,Toxic  (High Confidence),Safe,0.467,Safe  (Low Confidence),-2.560,None,Safe,0.000,Safe  (High Confidence),Safe,0.417,Safe  (Low Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,0.752,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.764,Toxic  (Medium Confidence),-0.130,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.868,Toxic  (High Confidence),Safe,0.019,Safe  (High Confidence),8.620,None,Toxic,0.997,Toxic  (High Confidence),Toxic,0.991,Toxic  (High Confidence),Safe,0.174,Safe  (Medium Confidence),Safe,0.080,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.353,Safe  (Low Confidence),Safe,0.008,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.018,Safe  (High Confidence),-277988.110,PIGC50% > -0.5 log ug/L: toxic,2.480,None,1.140,None,363.510,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.009,Safe  (High Confidence),Toxic,0.963,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,0.685,Toxic  (Medium Confidence),Toxic,0.900,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence)
CCCC[N+](CCCC)(CCCC)CCCC,Safe,0.000,Safe  (High Confidence),Safe,0.042,Safe  (High Confidence),Toxic,0.775,Toxic  (Medium Confidence),1.700,None,Toxic,0.921,Toxic  (High Confidence),Safe,0.066,Safe  (High Confidence),Toxic,0.980,Toxic  (High Confidence),Safe,0.358,Safe  (Low Confidence),Toxic,0.970,Toxic  (High Confidence),Toxic,0.983,Toxic  (High Confidence),0.580,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Safe,0.222,Safe  (Medium Confidence),Safe,0.289,Safe  (Medium Confidence),5.840,None,Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.024,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.585,Toxic  (Low Confidence),Safe,0.008,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),5.600,PIGC50% > -0.5 log ug/L: toxic,2.500,None,1.760,None,3.800,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.060,Safe  (High Confidence),Toxic,0.835,Toxic  (High Confidence),Safe,0.004,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.021,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.117,Safe  (High Confidence)
N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,Safe,0.000,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.101,Safe  (High Confidence),-57249.130,None,Safe,0.000,Safe  (High Confidence),Toxic,0.868,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.079,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),1.080,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.997,Toxic  (High Confidence),Toxic,0.671,Toxic  (Medium Confidence),4.050,None,Toxic,1.000,Toxic  (High Confidence),Safe,0.067,Safe  (High Confidence),Safe,0.056,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.430,Safe  (Low Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.223,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),-4467281980.340,PIGC50% > -0.5 log ug/L: toxic,1.920,None,5.190,None,5638998.690,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.047,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.933,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.960,Toxic  (High Confidence),Toxic,0.982,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence)
CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,Safe,0.000,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,0.832,Toxic  (Medium Confidence),-2558.390,None,Safe,0.000,Safe  (High Confidence),Safe,0.007,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.152,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),-1.310,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.841,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),4.150,None,Toxic,1.000,Toxic  (High Confidence),Toxic,0.665,Toxic  (Low Confidence),Safe,0.152,Safe  (High Confidence),Safe,0.203,Safe  (Medium Confidence),Toxic,0.959,Toxic  (High Confidence),Safe,0.069,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.053,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.983,Toxic  (High Confidence),-199509366.200,PIGC50% > -0.5 log ug/L: toxic,3.090,None,0.150,None,251843.120,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,1.000,Toxic  (High Confidence),Safe,0.183,Safe  (Medium Confidence),Safe,0.492,Safe  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.298,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence)
Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Toxic,0.629,Toxic  (Low Confidence),Toxic,0.919,Toxic  (High Confidence),Safe,0.366,Safe  (Low Confidence),1.180,None,Safe,0.002,Safe  (High Confidence),Safe,0.124,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.039,Safe  (High Confidence),Safe,0.452,Safe  (Low Confidence),Toxic,0.905,Toxic  (High Confidence),-0.200,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.857,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),9.110,None,Toxic,0.935,Toxic  (High Confidence),Toxic,0.949,Toxic  (High Confidence),Safe,0.049,Safe  (High Confidence),Toxic,0.730,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.035,Safe  (High Confidence),Safe,0.115,Safe  (High Confidence),Safe,0.340,Safe  (Low Confidence),Safe,0.013,Safe  (High Confidence),Toxic,0.999,Toxic  (High Confidence),-233.720,PIGC50% > -0.5 log ug/L: toxic,2.280,None,-0.360,None,7.660,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.977,Toxic  (High Confidence),Toxic,0.884,Toxic  (High Confidence),Toxic,0.685,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.762,Toxic  (Medium Confidence),Toxic,0.669,Toxic  (Medium Confidence),Toxic,0.999,Toxic  (High Confidence)
Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Safe,0.015,Safe  (High Confidence),Safe,0.303,Safe  (Medium Confidence),Safe,0.210,Safe  (Medium Confidence),1.670,None,Safe,0.004,Safe  (High Confidence),Safe,0.477,Safe  (Low Confidence),Toxic,0.999,Toxic  (High Confidence),Toxic,0.764,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.933,Toxic  (High Confidence),1.330,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.752,Toxic  (Medium Confidence),Safe,0.002,Safe  (High Confidence),5.190,None,Toxic,0.901,Toxic  (High Confidence),Toxic,0.847,Toxic  (High Confidence),Safe,0.150,Safe  (High Confidence),Safe,0.077,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Toxic,0.833,Toxic  (Medium Confidence),Toxic,0.832,Toxic  (Medium Confidence),Safe,0.324,Safe  (Medium Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.151,Safe  (High Confidence),4.420,PIGC50% > -0.5 log ug/L: toxic,2.770,None,2.270,None,5.340,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.036,Safe  (High Confidence),Toxic,0.701,Toxic  (Medium Confidence),Toxic,0.982,Toxic  (High Confidence),Safe,0.228,Safe  (Medium Confidence),Safe,0.091,Safe  (High Confidence),Toxic,0.977,Toxic  (High Confidence),Safe,0.432,Safe  (Low Confidence)
C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,Toxic,0.912,Toxic  (High Confidence),Safe,0.081,Safe  (High Confidence),Safe,0.317,Safe  (Medium Confidence),1.980,None,Safe,0.000,Safe  (High Confidence),Toxic,0.803,Toxic  (Medium Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,0.677,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.154,Safe  (High Confidence),0.520,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.616,Toxic  (Low Confidence),Safe,0.092,Safe  (High Confidence),6.760,None,Toxic,0.962,Toxic  (High Confidence),Safe,0.292,Safe  (Medium Confidence),Safe,0.232,Safe  (Medium Confidence),Safe,0.049,Safe  (High Confidence),Toxic,0.998,Toxic  (High Confidence),Safe,0.091,Safe  (High Confidence),Safe,0.015,Safe  (High Confidence),Toxic,0.803,Toxic  (Medium Confidence),Safe,0.001,Safe  (High Confidence),Toxic,0.553,Toxic  (Low Confidence),0.760,PIGC50% > -0.5 log ug/L: toxic,2.410,None,1.670,None,6.230,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.014,Safe  (High Confidence),Toxic,0.658,Toxic  (Low Confidence),Toxic,0.994,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.136,Safe  (High Confidence),Toxic,0.762,Toxic  (Medium Confidence),Safe,0.009,Safe  (High Confidence)
C1OCCOCCOCCOCCOCCOC1,Safe,0.008,Safe  (High Confidence),Safe,0.011,Safe  (High Confidence),Toxic,0.863,Toxic  (High Confidence),-0.570,None,Safe,0.171,Safe  (Medium Confidence),Toxic,0.761,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.174,Safe  (Medium Confidence),Toxic,0.606,Toxic  (Low Confidence),Toxic,0.995,Toxic  (High Confidence),0.940,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Safe,0.474,Safe  (Low Confidence),Toxic,0.732,Toxic  (Medium Confidence),1.900,None,Safe,0.013,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0.015,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.008,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.078,Safe  (High Confidence),Safe,0.167,Safe  (High Confidence),0.050,PIGC50% > -0.5 log ug/L: toxic,2.380,None,1.370,None,2.870,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.158,Safe  (High Confidence),Toxic,0.673,Toxic  (Medium Confidence),Safe,0.357,Safe  (Low Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence)
c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,Safe,0.004,Safe  (High Confidence),Safe,0.051,Safe  (High Confidence),Toxic,0.849,Toxic  (High Confidence),1.520,None,Safe,0.115,Safe  (High Confidence),Safe,0.326,Safe  (Medium Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.261,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.907,Toxic  (High Confidence),0.920,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.587,Toxic  (Low Confidence),Toxic,0.990,Toxic  (High Confidence),5.110,None,Safe,0.436,Safe  (Low Confidence),Safe,0.359,Safe  (Low Confidence),Safe,0.025,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.085,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.020,Safe  (High Confidence),Safe,0.012,Safe  (High Confidence),Safe,0.233,Safe  (Medium Confidence),-2.750,PIGC50% > -0.5 log ug/L: toxic,2.180,None,1.030,None,4.650,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.104,Safe  (High Confidence),Toxic,0.573,Toxic  (Low Confidence),Toxic,0.801,Toxic  (Medium Confidence),Safe,0.004,Safe  (High Confidence),Safe,0.038,Safe  (High Confidence),Safe,0.027,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence)
Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Safe,0.000,Safe  (High Confidence),Safe,0.077,Safe  (High Confidence),Toxic,0.583,Toxic  (Low Confidence),1.640,None,Safe,0.003,Safe  (High Confidence),Safe,0.090,Safe  (High Confidence),Toxic,0.999,Toxic  (High Confidence),Toxic,0.753,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.923,Toxic  (High Confidence),0.180,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.764,Toxic  (Medium Confidence),Safe,0.008,Safe  (High Confidence),5.530,None,Toxic,0.945,Toxic  (High Confidence),Safe,0.448,Safe  (Low Confidence),Safe,0.294,Safe  (Medium Confidence),Safe,0.048,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.264,Safe  (Medium Confidence),Safe,0.086,Safe  (High Confidence),Safe,0.400,Safe  (Low Confidence),Safe,0.004,Safe  (High Confidence),Safe,0.041,Safe  (High Confidence),0.360,PIGC50% > -0.5 log ug/L: toxic,2.350,None,2.470,None,5.440,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.738,Toxic  (Medium Confidence),Safe,0.314,Safe  (Medium Confidence),Safe,0.143,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Toxic,0.967,Toxic  (High Confidence),Safe,0.061,Safe  (High Confidence)
Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Safe,0.005,Safe  (High Confidence),Safe,0.004,Safe  (High Confidence),Toxic,0.844,Toxic  (High Confidence),2.320,None,Safe,0.000,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,0.803,Toxic  (Medium Confidence),Safe,0.208,Safe  (Medium Confidence),Toxic,0.955,Toxic  (High Confidence),2.290,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.696,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),8.380,None,Toxic,1.000,Toxic  (High Confidence),Safe,0.011,Safe  (High Confidence),Safe,0.132,Safe  (High Confidence),Toxic,0.991,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.416,Safe  (Low Confidence),-84.260,PIGC50% > -0.5 log ug/L: toxic,2.900,None,2.050,None,6.590,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.000,Safe  (High Confidence),Safe,0.471,Safe  (Low Confidence),Safe,0.274,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.661,Toxic  (Low Confidence),Toxic,0.819,Toxic  (Medium Confidence)
c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,Toxic,1.000,Toxic  (High Confidence),Safe,0.031,Safe  (High Confidence),Toxic,0.561,Toxic  (Low Confidence),0.650,None,Safe,0.000,Safe  (High Confidence),Toxic,0.947,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.614,Toxic  (Low Confidence),-0.390,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.963,Toxic  (High Confidence),Safe,0.012,Safe  (High Confidence),5.040,None,Toxic,1.000,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.295,Safe  (Medium Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.419,Safe  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),-35542.360,PIGC50% > -0.5 log ug/L: toxic,6.600,None,-1.460,None,60.650,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.459,Safe  (Low Confidence),Toxic,0.502,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.010,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence)
