,Unnamed: 0,id,solvent,permeance,pressure,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,secondary_solute_ratio,source,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM150,membrane_DM300,membrane_DM500,membrane_GMT-oNF-2,membrane_PBI,membrane_PMPerformance,membrane_PMS600,membrane_SM122,membrane_SS150101,membrane_SS336,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,test_standard,test_solute_disjoint,test_solute_disjoint_outer_val,rejection_mcmpnn_ft_v40_fold4,rejection_mcmpnn_ft_v40_fold3,rejection_mcmpnn_ft_v40_fold0,is_augmented,id_original,loss_weight,rejection_mcmpnn_ft_v40_fold2,Unnamed: 0.1,rejection_mcmpnn_ft_v40_fold1
12,12,12,Ethyl acetate,8.36,20.0,220,-1.0,0.0,1,1,23.0,O(C(C)=O)CC,Cl[Ru](=Cc1ccccc1OC(C)C(C)=O)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,Cl[Ru](=Cc1ccccc1OC(C)C(C)=O)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.94,654.6440000000001,7.619420000000009,654.6440000000001,7.619420000000009,0.5,cat,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,1.2146701649892326,0,0,0,0.9380697,0.91440874,0.93988526,0.0,12.0,1.4085383993906369,0.9651439,552.0,0.93661743
13,13,13,2-propanol,0.26,30.0,300,87.0,-8.0,0,0,25.0,C(C)(C)O,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.663,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,60.096,0.05,2.27,785.0,18.6,15.8,6.1,16.4,76.8,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.4710832997223453,0,0,0,0.67680025,0.6377492,0.33024472,0.0,13.0,1.0662882795387014,0.6915014,1362.0,0.67580885
14,14,14,Dimethyl carbonate,0.603333333,30.0,300,87.0,-8.0,0,0,25.0,C(OC)(OC)=O,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.581,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,90.078,0.35,0.644,1069.0,3.1,15.5,3.9,9.7,84.2,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.3767507096020995,0,0,0,0.6020486,0.55632997,0.597679,0.0,14.0,0.9649723595825328,0.60545415,143.0,0.3968139
15,15,15,n-Hexanal,0.806666667,30.0,300,87.0,-8.0,0,0,25.0,C(CCC)CC=O,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.389,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,100.161,1.7656,1.4,810.0,10.0,15.8,8.5,5.4,120.2,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.2132485778544388,0,0,0,0.42685062,0.40080065,0.38861403,0.0,15.0,0.7277448396851625,0.60161954,144.0,0.38025308
16,16,16,n-Hexane,3.326666667,30.0,300,87.0,-8.0,0,0,25.0,C(CCC)CC,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.59,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,86.178,3.9,0.3,661.0,1.88,14.9,0.0,0.0,131.6,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.3861581781239308,0,0,0,0.5958779,0.5680823,0.614836,0.0,16.0,0.976092399577722,0.5877583,1173.0,0.08601946
17,17,17,Toluene,1.93,30.0,300,87.0,-8.0,0,0,25.0,Cc1ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.905,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.0177287669604316,0,0,0,0.8067195,0.7435932,0.5297377,0.0,17.0,1.3652937994093457,0.7713772,37.0,0.79561305
18,18,18,Toluene,0.06,40.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.995,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,2.221848749616356,0,0,0,0.98616266,0.95371723,0.99127764,0.0,18.0,1.4764941993612375,0.9849388,779.0,0.97130656
19,19,19,Toluene,0.06,30.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.995,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,2.221848749616356,0,0,0,0.9957086,0.96026736,0.9959088,0.0,19.0,1.47613468245579,0.99475706,191.0,0.99678177
20,20,20,Toluene,0.06,20.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.984,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,1.7695510786217257,0,0,0,0.9849794,0.9729912,0.9888449,0.0,20.0,1.4629030393671176,0.97891414,256.0,0.9899375
21,21,21,Toluene,0.06,10.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.963,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,1.4202164033831894,1,0,0,0.95212007,0.9226134,0.9489901,0.0,21.0,1.0,0.93450654,4974.0,0.9736393
22,22,22,Toluene,0.18,40.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.86,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,0.8507808873446201,0,0,0,0.84899724,0.84413457,0.856856,0.0,22.0,1.3096935994333991,0.8468021,1104.0,0.8410573
23,23,23,Toluene,0.18,30.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.86,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,0.8507808873446201,0,0,0,0.86072135,0.8524085,0.90782064,0.0,23.0,1.3096935994333991,0.84829545,608.0,0.8550637
24,24,24,Toluene,0.24,20.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.91,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.0409586076789066,0,0,0,0.90636605,0.89320624,0.94107866,0.0,24.0,1.3714715994066728,0.88434786,720.0,0.90374345
25,25,25,Toluene,0.35,10.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.91,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.0409586076789066,0,0,0,0.9189738,0.9070481,0.91634953,0.0,25.0,1.3711376548334115,0.8882224,216.0,0.90539503
26,26,26,Ethyl acetate,4.236,25.0,220,-1.0,0.0,1,1,20.0,O(C(C)=O)CC,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,metal_catalyst,0.994,635.2149999999999,10.098999999999997,635.2149999999999,10.098999999999997,0.5,cat,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,2.154901959985742,0,1,0,0.9983387,0.8291092,0.9924334,0.0,26.0,1.4752586393617726,0.9941557,436.0,0.9977499
27,27,27,Ethyl acetate,5.892,25.0,220,-1.0,0.0,1,1,44.0,O(C(C)=O)CC,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,metal_catalyst,0.99,847.1960000000003,9.201500000000005,847.1960000000003,9.201500000000005,0.5,cat,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.9586073148417744,1,0,0,1.0,0.94596887,1.0,0.0,27.0,1.0,0.9743285,1453.0,1.0
28,28,28,Tetrahydrofuran,2.725,20.0,220,-1.0,0.0,1,1,20.0,C1CCOC1,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,metal_catalyst,0.958,635.2149999999999,10.098999999999997,635.2149999999999,10.098999999999997,0.5,cat,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.3665315444204131,0,1,0,0.9546491,0.9508495,0.9524698,0.0,28.0,1.4307784793810154,0.908507,419.0,0.95190346
29,29,29,Tetrahydrofuran,4.728,25.0,220,-1.0,0.0,1,1,40.0,C1CCOC1,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,metal_catalyst,0.99,847.1960000000003,9.201500000000005,847.1960000000003,9.201500000000005,0.5,cat,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.9586073148417744,0,0,0,1.0,0.9081007,0.99237823,0.0,29.0,1.4699583867132973,0.9469242,31.0,1.0
30,30,30,Tetrahydrofuran,3.744,25.0,220,-1.0,0.0,1,1,30.0,C1CCOC1,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,metal_catalyst,0.99,847.1960000000003,9.201500000000005,847.1960000000003,9.201500000000005,0.5,cat,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.9586073148417744,1,0,0,1.0,0.9471615,0.966969,0.0,30.0,1.0,0.9528748,214.0,0.96349394
31,31,31,Tetrahydrofuran,2.84,25.0,220,-1.0,0.0,1,1,20.0,C1CCOC1,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,metal_catalyst,0.99,847.1960000000003,9.201500000000005,847.1960000000003,9.201500000000005,0.5,cat,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.9586073148417744,0,0,0,0.97683895,0.98021626,0.97925174,0.0,31.0,1.4703163993639106,0.999334,502.0,0.9567194
32,32,32,Dimethyl carbonate,0.333333333,30.0,500,82.0,0.0,0,1,27.0,C(OC)(OC)=O,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.86,258.035,0.60719,258.035,0.60719,0.5,cat,90.078,0.35,0.644,1069.0,3.1,15.5,3.9,9.7,84.2,0,0,0,0,0,0,0,0,0,1,SS336,1,0,CF,0.8507808873446201,0,0,0,0.21908578,0.818327,0.8902108,0.0,32.0,1.309374697408483,0.87473536,240.0,0.8613162
33,33,33,Toluene,0.766666667,30.0,220,-1.0,0.0,1,1,27.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.996,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,2.301029995663981,0,0,0,0.9929252,0.9520571,0.9943044,0.0,33.0,1.4777297593607035,0.9905836,974.0,0.9970928
34,34,34,Toluene,0.766666667,30.0,220,-1.0,0.0,1,1,27.0,Cc1ccccc1,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.578,258.035,0.60719,258.035,0.60719,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,0.3736596326249576,0,0,0,0.5833668,0.5289196,0.56519365,0.0,34.0,0.9612656795841364,0.9868051,1270.0,0.579301
