,Unnamed: 0,id,solvent,permeance,pressure,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,secondary_solute_ratio,source,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM150,membrane_DM300,membrane_DM500,membrane_GMT-oNF-2,membrane_PBI,membrane_PMPerformance,membrane_PMS600,membrane_SM122,membrane_SS150101,membrane_SS336,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,test_standard,test_solute_disjoint,test_solute_disjoint_outer_val,rejection_mcmpnn_combi_ft_v40_fold1,rejection_mcmpnn_combi_ft_v40_fold2,id_original,is_augmented,loss_weight,rejection_mcmpnn_combi_ft_v40_fold0,rejection_mcmpnn_combi_ft_v40_fold3,rejection_mcmpnn_combi_ft_v40_fold4,Unnamed: 0.1
10,10,10,Toluene,0.06,40.0,220,-1.0,0.0,1,1,30.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCCOCCOC)cc3C)c4c(C)cc(OCCOCCOC)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCCOCCOC)cc3C)c4c(C)cc(OCCOCCOC)cc4C,metal_catalyst,0.996,834.8439999999996,7.517080000000009,834.8439999999996,7.517080000000009,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,2.301029995663981,0,0,0,0.9708613,0.9800712,10.0,0.0,1.5439020444825895,1.0,0.9851186,0.98847616,2074.0
11,11,11,Ethyl acetate,13.3,20.0,220,-1.0,0.0,1,1,23.0,O(C(C)=O)CC,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,metal_catalyst,0.97,600.6170000000005,10.016299999999994,600.6170000000005,10.016299999999994,0.5,cat,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,1.508638306165727,0,0,0,0.9706216,0.95770967,11.0,0.0,1.5103389565590546,0.962692,0.96627116,0.9671117,3360.0
12,12,12,Ethyl acetate,8.36,20.0,220,-1.0,0.0,1,1,23.0,O(C(C)=O)CC,Cl[Ru](=Cc1ccccc1OC(C)C(C)=O)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,Cl[Ru](=Cc1ccccc1OC(C)C(C)=O)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.94,654.6440000000001,7.619420000000009,654.6440000000001,7.619420000000009,0.5,cat,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,1.2146701649892326,0,0,0,0.9523147,0.938947,12.0,0.0,1.471612316647284,0.9254261,0.9356415,0.9351795,3839.0
13,13,13,2-propanol,0.26,30.0,300,87.0,-8.0,0,0,25.0,C(C)(C)O,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.663,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,60.096,0.05,2.27,785.0,18.6,15.8,6.1,16.4,76.8,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.4710832997223453,0,0,0,0.6680094,0.6822701,13.0,0.0,1.1140363414619352,-0.08304834,0.6662165,0.68574464,5256.0
14,14,14,Dimethyl carbonate,0.603333333,30.0,300,87.0,-8.0,0,0,25.0,C(OC)(OC)=O,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.581,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,90.078,0.35,0.644,1069.0,3.1,15.5,3.9,9.7,84.2,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.3767507096020995,0,0,0,0.20027217,0.5983939,14.0,0.0,1.008183525703095,0.5672491,0.5717252,0.5720998,5012.0
15,15,15,n-Hexanal,0.806666667,30.0,300,87.0,-8.0,0,0,25.0,C(CCC)CC=O,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.389,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,100.161,1.7656,1.4,810.0,10.0,15.8,8.5,5.4,120.2,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.2132485778544388,0,0,0,0.39133868,0.6174545,15.0,0.0,0.7603330302677634,0.40468973,0.36775154,0.40923238,5052.0
16,16,16,n-Hexane,3.326666667,30.0,300,87.0,-8.0,0,0,25.0,C(CCC)CC,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.59,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,86.178,3.9,0.3,661.0,1.88,14.9,0.0,0.0,131.6,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.3861581781239308,0,0,0,0.2188443,0.59139895,16.0,0.0,1.0198015176766266,0.5931987,0.5965746,0.60095835,708.0
17,17,17,Toluene,1.93,30.0,300,87.0,-8.0,0,0,25.0,Cc1ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.905,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.0177287669604316,0,0,0,0.8018856,0.79906,17.0,0.0,1.4264312367502183,0.65639114,0.80078924,0.79887074,1092.0
18,18,18,Toluene,0.06,40.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.995,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,2.221848749616356,0,0,0,0.9753186,0.97735727,18.0,0.0,1.5426111564855305,0.9877182,0.98735285,0.98341846,4514.0
19,19,19,Toluene,0.06,30.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.995,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,2.221848749616356,0,0,0,0.99115825,0.9848912,19.0,0.0,1.541998762492035,0.985288,0.9868976,0.98393536,698.0
20,20,20,Toluene,0.06,20.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.984,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,1.7695510786217257,0,0,0,0.97947,0.9801351,20.0,0.0,1.5284113885178812,0.9758625,0.9764962,0.979375,593.0
21,21,21,Toluene,0.06,10.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.963,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,1.4202164033831894,1,0,0,0.94552696,0.97773015,21.0,0.0,1.0,0.9449424,0.9688242,0.9191346,689.0
22,22,22,Toluene,0.18,40.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.86,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,0.8507808873446201,0,0,0,0.8875392,0.8987206,22.0,0.0,1.3683412768825622,0.8640311,0.85091436,0.86112106,2804.0
23,23,23,Toluene,0.18,30.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.86,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,0.8507808873446201,0,0,0,0.8694969,0.88818645,23.0,0.0,1.3683412768825622,0.8923428,0.85251707,0.8688282,3942.0
24,24,24,Toluene,0.24,20.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.91,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.0409586076789066,0,0,0,0.906484,0.89947474,24.0,0.0,1.4328856767355134,0.9069582,0.8980503,0.8994206,1662.0
25,25,25,Toluene,0.35,10.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.91,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.0409586076789066,0,0,0,0.9075458,0.9184438,25.0,0.0,1.4323168421474133,0.8990714,0.9109804,0.8690407,302.0
26,26,26,Ethyl acetate,4.236,25.0,220,-1.0,0.0,1,1,20.0,O(C(C)=O)CC,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,metal_catalyst,0.994,635.2149999999999,10.098999999999997,635.2149999999999,10.098999999999997,0.5,cat,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,2.154901959985742,0,1,0,0.9936716,0.99224836,26.0,0.0,1.5413202684884717,0.9862218,0.8993339,1.0,2488.0
27,27,27,Ethyl acetate,5.892,25.0,220,-1.0,0.0,1,1,44.0,O(C(C)=O)CC,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,metal_catalyst,0.99,847.1960000000003,9.201500000000005,847.1960000000003,9.201500000000005,0.5,cat,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.9586073148417744,1,0,0,1.0,1.0,27.0,0.0,1.0,1.0,1.0,1.0,617.0
28,28,28,Tetrahydrofuran,2.725,20.0,220,-1.0,0.0,1,1,20.0,C1CCOC1,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,metal_catalyst,0.958,635.2149999999999,10.098999999999997,635.2149999999999,10.098999999999997,0.5,cat,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.3665315444204131,0,1,0,0.9490799,0.98619556,28.0,0.0,1.4948483005943465,0.9561836,0.9504791,0.9690737,4632.0
29,29,29,Tetrahydrofuran,4.728,25.0,220,-1.0,0.0,1,1,40.0,C1CCOC1,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,metal_catalyst,0.99,847.1960000000003,9.201500000000005,847.1960000000003,9.201500000000005,0.5,cat,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.9586073148417744,0,0,0,0.98115915,0.99769175,29.0,0.0,1.5355468848247045,0.9829312,0.9890827,1.0,1155.0
30,30,30,Tetrahydrofuran,3.744,25.0,220,-1.0,0.0,1,1,30.0,C1CCOC1,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,metal_catalyst,0.99,847.1960000000003,9.201500000000005,847.1960000000003,9.201500000000005,0.5,cat,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.9586073148417744,1,0,0,0.9231696,0.97698104,30.0,0.0,1.0,0.9369957,0.9648518,0.9763613,86.0
31,31,31,Tetrahydrofuran,2.84,25.0,220,-1.0,0.0,1,1,20.0,C1CCOC1,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,metal_catalyst,0.99,847.1960000000003,9.201500000000005,847.1960000000003,9.201500000000005,0.5,cat,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.9586073148417744,0,0,0,0.9282005,1.0,31.0,0.0,1.5361567165002352,0.9783673,0.98391354,0.9913363,3087.0
32,32,32,Dimethyl carbonate,0.333333333,30.0,500,82.0,0.0,0,1,27.0,C(OC)(OC)=O,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.86,258.035,0.60719,258.035,0.60719,0.5,cat,90.078,0.35,0.644,1069.0,3.1,15.5,3.9,9.7,84.2,0,0,0,0,0,0,0,0,0,1,SS336,1,0,CF,0.8507808873446201,0,0,0,0.8683788,0.8863957,32.0,0.0,1.3677980654741062,0.8851707,0.86029303,0.16669536,8.0
33,33,33,Toluene,0.766666667,30.0,220,-1.0,0.0,1,1,27.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.996,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,2.301029995663981,0,0,0,0.9966134,0.98983765,33.0,0.0,1.5439020444825895,0.98985004,0.9871103,0.9837719,1029.0
34,34,34,Toluene,0.766666667,30.0,220,-1.0,0.0,1,1,27.0,Cc1ccccc1,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.578,258.035,0.60719,258.035,0.60719,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,0.3736596326249576,0,0,0,0.5591904,0.9858341,34.0,0.0,1.0043108617119183,0.58028007,0.569434,0.60664773,180.0
