,Unnamed: 0,id,solvent,permeance,pressure,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,secondary_solute_ratio,source,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM150,membrane_DM300,membrane_DM500,membrane_GMT-oNF-2,membrane_PBI,membrane_PMPerformance,membrane_PMS600,membrane_SM122,membrane_SS150101,membrane_SS336,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,test_standard,test_solute_disjoint,test_solute_disjoint_outer_val,Unnamed: 0.1,id_original,rejection_mcmpnn_pt_v40_fold3,rejection_mcmpnn_pt_v40_fold1,rejection_mcmpnn_pt_v40_fold4,rejection_mcmpnn_pt_v40_fold2,is_augmented,rejection_mcmpnn_pt_v40_fold0,loss_weight
10,10,10,Toluene,0.06,40.0,220,-1.0,0.0,1,1,30.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCCOCCOC)cc3C)c4c(C)cc(OCCOCCOC)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCCOCCOC)cc3C)c4c(C)cc(OCCOCCOC)cc4C,metal_catalyst,0.996,834.8439999999996,7.517080000000009,834.8439999999996,7.517080000000009,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,2.301029995663981,0,0,0,375.0,10.0,0.95637095,0.96714115,0.93473697,0.9868494,0.0,0.9565861,1.0
11,11,11,Ethyl acetate,13.3,20.0,220,-1.0,0.0,1,1,23.0,O(C(C)=O)CC,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,metal_catalyst,0.97,600.6170000000005,10.016299999999994,600.6170000000005,10.016299999999994,0.5,cat,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,1.508638306165727,0,0,0,1469.0,11.0,0.9265511,0.92210084,0.93047404,0.9843701,0.0,1.0,1.0
12,12,12,Ethyl acetate,8.36,20.0,220,-1.0,0.0,1,1,23.0,O(C(C)=O)CC,Cl[Ru](=Cc1ccccc1OC(C)C(C)=O)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,Cl[Ru](=Cc1ccccc1OC(C)C(C)=O)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.94,654.6440000000001,7.619420000000009,654.6440000000001,7.619420000000009,0.5,cat,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,1.2146701649892326,0,0,0,252.0,12.0,0.87138695,0.8497876,0.8452343,0.9353719,0.0,0.87704456,1.0
13,13,13,2-propanol,0.26,30.0,300,87.0,-8.0,0,0,25.0,C(C)(C)O,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.663,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,60.096,0.05,2.27,785.0,18.6,15.8,6.1,16.4,76.8,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.4710832997223453,0,0,0,395.0,13.0,0.55970305,0.39924794,0.14267585,0.5990298,0.0,0.43927133,1.0
14,14,14,Dimethyl carbonate,0.603333333,30.0,300,87.0,-8.0,0,0,25.0,C(OC)(OC)=O,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.581,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,90.078,0.35,0.644,1069.0,3.1,15.5,3.9,9.7,84.2,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.3767507096020995,0,0,0,2268.0,14.0,0.5173913,0.56837016,0.33402655,0.5880075,0.0,0.5916555,1.0
15,15,15,n-Hexanal,0.806666667,30.0,300,87.0,-8.0,0,0,25.0,C(CCC)CC=O,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.389,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,100.161,1.7656,1.4,810.0,10.0,15.8,8.5,5.4,120.2,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.2132485778544388,0,0,0,1060.0,15.0,0.51257366,0.35094517,0.24911734,0.52602696,0.0,0.4642883,1.0
16,16,16,n-Hexane,3.326666667,30.0,300,87.0,-8.0,0,0,25.0,C(CCC)CC,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.59,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,86.178,3.9,0.3,661.0,1.88,14.9,0.0,0.0,131.6,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,0.3861581781239308,0,0,0,1025.0,16.0,0.3874973,0.22096851,0.15145287,0.29739538,0.0,0.31542742,1.0
17,17,17,Toluene,1.93,30.0,300,87.0,-8.0,0,0,25.0,Cc1ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,0.905,262.292,3.4448000000000016,262.292,3.4448000000000016,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,1,0,0,0,0,0,0,GMT-oNF-2,1,0,CF,1.0177287669604316,0,0,0,372.0,17.0,0.7036125,0.6957884,0.4440713,0.730788,0.0,0.71043146,1.0
18,18,18,Toluene,0.06,40.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.995,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,2.221848749616356,0,0,0,1664.0,18.0,0.89495194,0.9151665,0.88523436,0.9741087,0.0,0.94601214,1.0
19,19,19,Toluene,0.06,30.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.995,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,2.221848749616356,0,0,0,2238.0,19.0,0.9016414,0.9221736,0.8839512,0.96232724,0.0,0.95027435,1.0
20,20,20,Toluene,0.06,20.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.984,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,1.7695510786217257,0,0,0,684.0,20.0,0.9031272,0.91392773,0.857436,0.9313073,0.0,0.95048535,1.0
21,21,21,Toluene,0.06,10.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.963,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,1.4202164033831894,1,0,0,1139.0,21.0,0.8964443,0.8706064,0.8249501,0.8819063,0.0,0.93335974,1.0
22,22,22,Toluene,0.18,40.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.86,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,0.8507808873446201,0,0,0,1879.0,22.0,0.8892089,0.9287605,0.87383544,0.95686173,0.0,0.945992,1.0
23,23,23,Toluene,0.18,30.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.86,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,0.8507808873446201,0,0,0,1565.0,23.0,0.8875047,0.923774,0.8615333,0.9301814,0.0,0.9461998,1.0
24,24,24,Toluene,0.24,20.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.91,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.0409586076789066,0,0,0,1093.0,24.0,0.8864212,0.91374004,0.84299695,0.88768107,0.0,0.94539374,1.0
25,25,25,Toluene,0.35,10.0,220,-1.0,0.0,1,1,26.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.91,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.0409586076789066,0,0,0,2192.0,25.0,0.89177394,0.8750087,0.81117487,0.81629515,0.0,0.9309987,1.0
26,26,26,Ethyl acetate,4.236,25.0,220,-1.0,0.0,1,1,20.0,O(C(C)=O)CC,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,metal_catalyst,0.994,635.2149999999999,10.098999999999997,635.2149999999999,10.098999999999997,0.5,cat,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,2.154901959985742,0,1,0,30.0,26.0,0.839975,0.92799985,0.8476614,0.75000894,0.0,0.84485525,1.0
27,27,27,Ethyl acetate,5.892,25.0,220,-1.0,0.0,1,1,44.0,O(C(C)=O)CC,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,metal_catalyst,0.99,847.1960000000003,9.201500000000005,847.1960000000003,9.201500000000005,0.5,cat,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.9586073148417744,1,0,0,217.0,27.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
28,28,28,Tetrahydrofuran,2.725,20.0,220,-1.0,0.0,1,1,20.0,C1CCOC1,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,metal_catalyst,0.958,635.2149999999999,10.098999999999997,635.2149999999999,10.098999999999997,0.5,cat,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.3665315444204131,0,1,0,923.0,28.0,0.89190376,0.9623065,0.90799785,0.8287375,0.0,0.93557626,1.0
29,29,29,Tetrahydrofuran,4.728,25.0,220,-1.0,0.0,1,1,40.0,C1CCOC1,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,metal_catalyst,0.99,847.1960000000003,9.201500000000005,847.1960000000003,9.201500000000005,0.5,cat,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.9586073148417744,0,0,0,1130.0,29.0,1.0,1.0,1.0,0.9983711,0.0,1.0,1.0
30,30,30,Tetrahydrofuran,3.744,25.0,220,-1.0,0.0,1,1,30.0,C1CCOC1,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,metal_catalyst,0.99,847.1960000000003,9.201500000000005,847.1960000000003,9.201500000000005,0.5,cat,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.9586073148417744,1,0,0,1027.0,30.0,0.9537109,0.9773805,0.9691888,0.9194018,0.0,0.97896266,1.0
31,31,31,Tetrahydrofuran,2.84,25.0,220,-1.0,0.0,1,1,20.0,C1CCOC1,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,CC(O[Pd]1([P](c2ccccc2)(c3ccccc3)c4cc5ccccc5cc4c6cc7ccccc7cc6[P]1(c8ccccc8)c9ccccc9)OC(C)=O)=O,metal_catalyst,0.99,847.1960000000003,9.201500000000005,847.1960000000003,9.201500000000005,0.5,cat,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,0,0,0,0,0,0,0,1,0,0,SM122,0,1,DE,1.9586073148417744,0,0,0,2335.0,31.0,0.9127861,0.88472706,0.90714,0.925925,0.0,0.9191692,1.0
32,32,32,Dimethyl carbonate,0.333333333,30.0,500,82.0,0.0,0,1,27.0,C(OC)(OC)=O,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.86,258.035,0.60719,258.035,0.60719,0.5,cat,90.078,0.35,0.644,1069.0,3.1,15.5,3.9,9.7,84.2,0,0,0,0,0,0,0,0,0,1,SS336,1,0,CF,0.8507808873446201,0,0,0,1610.0,32.0,0.14117181,0.30526787,0.16353947,0.3744485,0.0,0.29633075,1.0
33,33,33,Toluene,0.766666667,30.0,220,-1.0,0.0,1,1,27.0,Cc1ccccc1,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,0.996,626.634,8.050320000000008,626.634,8.050320000000008,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,2.301029995663981,0,0,0,1040.0,33.0,0.91288614,0.93602186,0.8896415,0.9749141,0.0,0.95255697,1.0
34,34,34,Toluene,0.766666667,30.0,220,-1.0,0.0,1,1,27.0,Cc1ccccc1,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,0.578,258.035,0.60719,258.035,0.60719,0.5,cat,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,0,0,0,0,0,0,0,1,0,0,SM122,1,0,CF,0.3736596326249576,0,0,0,1398.0,34.0,0.6140651,0.52585083,0.6007287,0.6548839,0.0,0.747332,1.0
35,35,35,2-propanol,0.01,40.0,600,-1.0,0.0,1,1,25.0,C(C)(C)O,CC(O[Pd]OC(C)=O)=O,CC(O[Pd]OC(C)=O)=O,metal_catalyst,0.75,224.508,0.0250999999999999,224.508,0.0250999999999999,0.5,cat,60.096,0.05,2.27,785.0,18.6,15.8,6.1,16.4,76.8,0,0,0,0,0,0,1,0,0,0,PMS600,0,1,DE,0.6003262785189618,0,0,1,916.0,35.0,0.4399857,0.35142246,0.5347354,0.31968117,0.0,0.3134316,1.0
