,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,solute_category,membrane,solvent,solute_smiles,pressure,temperature,process_configuration,permeance,substructure_smarts,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
10,10,10,10,10,10,10,metal_catalyst,GMT-oNF-2,Acetonitrile,c1([P]([Pd]([P](c2ccccc2)(c3ccccc3)c4ccccc4)([P](c5ccccc5)(c6ccccc6)c7ccccc7)[P](c8ccccc8)(c9ccccc9)c%10ccccc%10)(c%11ccccc%11)c%12ccccc%12)ccccc1,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1155.5880000000002,13.77669999999998,0,0,0,0,0,0,1,0,1,0,0.85942566,0.8859389,0.97526973,0.9496523,0.9570756,0.9254724379999999,0.8634256500840162,0.9875192259159836
11,11,11,11,11,11,11,metal_catalyst,GMT-oNF-2,Acetonitrile,CC1=C[C-](C)O[Rh+]([P](c2ccccc2)(c3ccccc3)c4ccccc4)([P](c5ccccc5)(c6ccccc6)c7ccccc7)O1,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,726.5990000000002,8.290990000000008,0,0,0,0,0,0,1,0,1,0,0.8395437,0.8578204,0.9286939,0.8390393,0.9121693,0.8754533200000001,0.8231078521401239,0.9277987878598762
12,12,12,12,12,12,12,metal_catalyst,GMT-oNF-2,Acetonitrile,CC1(c2c(Oc3c1cccc3[P](c4ccccc4)([Pd][P]5(c6ccccc6)c7ccccc7)c8ccccc8)c5ccc2)C,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,685.052,7.632100000000009,0,0,0,0,0,0,1,0,1,0,0.88702786,0.89282084,0.9516616,0.81457865,0.89673173,0.8885641360000001,0.8279182506943407,0.9492100213056595
13,13,13,13,13,13,13,metal_catalyst,GMT-oNF-2,Acetonitrile,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,631.0040000000002,6.8871000000000056,0,0,0,0,0,0,1,0,1,0,0.69974625,0.8372528,0.9433924,0.77075636,0.89658904,0.82954737,0.7088129217296539,0.9502818182703461
14,14,14,14,14,14,14,metal_catalyst,GMT-oNF-2,Acetonitrile,Cl[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,925.2350000000002,11.021399999999993,0,0,0,0,0,0,1,0,1,0,0.84166086,0.881209,0.948345,0.9181903,0.9443878,0.9067585920000001,0.8506545880620636,0.9628625959379365
15,15,15,15,15,15,15,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1371.770999999998,16.739299999999968,0,0,0,0,0,0,1,0,1,0,0.95079327,0.97306776,1.0,0.9408972,0.94790566,0.9625327779999999,0.9325353126811403,0.9925302433188595
16,16,16,16,16,16,16,metal_catalyst,GMT-oNF-2,Acetonitrile,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,919.8080000000002,9.7901,0,0,0,0,0,0,1,0,1,0,0.7618388,0.85979056,0.9841418,0.9245566,0.9412068,0.8943069119999999,0.7869117157571677,1.0017021082428321
17,17,17,17,17,17,17,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(O[Pd](OC(C)=O)([P](c1ccccc1)(c2ccccc2)c3ccccc3)[P](c4ccccc4)(c5ccccc5)c6ccccc6)=O,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,749.0920000000001,6.914700000000008,0,0,0,0,0,0,1,0,1,0,0.8549323,0.84981275,0.919492,0.9240079,0.9172681,0.89310261,0.8467829993778431,0.939422220622157
18,18,18,18,18,18,18,metal_catalyst,GMT-oNF-2,Acetonitrile,Cl[Ru](Cl)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)([P](C4CCCCC4)(C5CCCCC5)C6CCCCC6)=Cc7ccccc7,30,25,CF,0.153,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,822.9729999999996,15.69549999999996,0,0,0,0,0,0,1,0,1,0,0.8725803,0.9802169,0.9785775,0.95248866,0.9915192,0.955076512,0.8951261020942719,1.0150269219057282
19,19,19,19,19,19,19,metal_catalyst,GMT-oNF-2,Acetonitrile,Cc1cc(C)c(N2CCN(C2=[Ru](Cl)(Cl)([P](C3CCCCC3)(C4CCCCC4)C5CCCCC5)=C6C=C(C7=CC=CC=C76)c8ccccc8)c9c(C)cc(C)cc9C)c(C)c1,30,25,CF,0.153,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,949.1099999999996,15.545019999999964,0,0,0,0,0,0,1,0,1,0,0.932639,0.95775515,0.996889,0.94614744,0.98970497,0.964627112,0.9301628839189098,0.9990913400810901
20,20,20,20,20,20,20,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,30,25,CF,0.153,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,600.6170000000005,10.016299999999994,0,0,0,0,0,0,1,0,1,0,0.81610346,0.9366294,0.9204429,0.9317368,0.940835,0.9091495119999999,0.843875268744005,0.9744237552559949
21,21,21,21,21,21,21,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCC45CC6CC(CC(C5)C6)C4)cc3C)c7c(C)cc(OCC89CC%10CC(CC(C9)C%10)C8)cc7C,30,25,CF,0.153,CC12CC3CC(C2)CC(C3)C1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,927.0759999999992,12.62387999999998,0,0,0,0,0,0,1,0,1,0,0.92297447,0.9397808,0.9762633,0.9541806,0.99880373,0.95840058,0.9213009718363628,0.9955001881636371
22,22,22,22,22,22,22,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)c1c(N2/C(N(c3c(C(C)C)cccc3C(C)C)CC2CC45CC6CC(CC(C5)C6)C4)=[Au]/CC(C)=O)c(C(C)C)ccc1,30,25,CF,0.153,CC12CC3CC(C2)CC(C3)C1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,792.9030000000002,10.659099999999992,0,0,0,0,0,0,1,0,1,0,0.9242115,0.92187953,0.9748316,0.9348645,0.9679214,0.944741706,0.9137969356147136,0.9756864763852863
23,23,23,23,23,23,23,metal_catalyst,GMT-oNF-2,Acetonitrile,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,861.0489999999998,13.428849999999976,0,0,0,0,0,0,1,0,1,0,0.9328692,0.93911475,0.98207986,0.91686666,0.9814165,0.9504693940000001,0.9136106686308606,0.9873281193691396
24,24,24,24,24,24,24,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCC45CC6CC(CC(C5)C6)C4)cc3C)c7c(C)cc(OCC89CC%10CC(CC(C9)C%10)C8)cc7C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,927.0759999999992,12.62387999999998,0,0,0,0,0,0,1,0,1,0,0.92297447,0.9397808,0.9762633,0.9541806,0.9988038,0.9584005939999999,0.9213009564536251,0.9955002315463747
25,25,25,25,25,25,25,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)c1c(N2/C(N(c3c(C(C)C)cccc3C(C)C)CC2CC45CC6CC(CC(C5)C6)C4)=[Au]/CC(C)=O)c(C(C)C)ccc1,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,792.9030000000002,10.659099999999992,0,0,0,0,0,0,1,0,1,0,0.9242115,0.9218795,0.9748316,0.9348645,0.9679214,0.9447417,0.9137969210719202,0.9756864789280798
26,26,26,26,26,26,26,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)Oc1ccc(c2cc(C(C)(C)C)c(OCCCC)c(C(C)(C)C)c2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,887.0549999999995,13.491219999999975,0,0,0,0,0,0,1,0,1,0,0.9362991,0.9629073,0.99187714,0.9416007,0.9975476,0.9660463680000001,0.9311917471721707,1.0009009888278295
27,27,27,27,27,27,27,metal_catalyst,GMT-oNF-2,Acetonitrile,Cl[Ru]1([N]2=C(C(C3=CC=CC=C3)(O1)C4=CC=CC=C4)C=CC=C2)(=CC5=CC=CC=C5)=C6N(CCN6C7=C(C=C(C=C7C)C)C)C8=C(C=C(C=C8C)C)C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,793.4169999999996,10.428019999999997,0,0,0,0,0,0,1,0,1,0,0.91569257,0.9211643,1.0,0.91315717,0.97254616,0.94451204,0.8955346028981656,0.9934894771018344
28,28,28,28,28,28,28,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)c(CN(C4CCCCC4)C5CCCCC5)c(C)c(CN(C6CCCCC6)C7CCCCC7)c3C)c8c(C)c(CN(C9CCCCC9)C%10CCCCC%10)c(C)c(CN(C%11CCCCC%11)C%12CCCCC%12)c8C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1399.969999999999,21.91992000000001,0,0,0,0,0,0,1,0,1,0,0.9653152,1.0,1.0,1.0,1.0,0.99306304,0.9738029513630471,1.012323128636953
29,29,29,29,29,29,29,metal_catalyst,GMT-oNF-2,Acetonitrile,Cl[Ru](=Cc1ccccc1OC(C)C(C)=O)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,654.6440000000001,7.619420000000009,0,0,0,0,0,0,1,0,1,0,0.9302373,0.9343405,0.9594693,0.9065951,0.9732598,0.9407804000000001,0.9083693399258513,0.9731914600741488
30,30,30,30,30,30,30,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)Oc1ccc(c2c(C)cccc2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,716.7589999999998,10.025739999999995,0,0,0,0,0,0,1,0,1,0,0.9334913,0.9367957,0.97012544,0.9180646,0.97877717,0.9474508420000001,0.915386637415069,0.9795150465849312
31,31,31,31,31,31,31,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)c1cc(CN(C2CCCCC2)C3CCCCC3)cc(C(C)C)c1N(/C4=[Pd](Cl)\C/C=C\c5ccccc5)CCN4c6c(C(C)C)cc(CN(C7CCCCC7)C8CCCCC8)cc6C(C)C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1036.3269999999989,17.432699999999972,0,0,0,0,0,0,1,0,1,0,0.9415727,0.9634714,1.0,0.9701996,1.0,0.9750487400000001,0.9438626673950694,1.0062348126049308
32,32,32,32,32,32,32,metal_catalyst,GMT-oNF-2,Acetonitrile,Cl[Pt]([S](C)C)(Cl)=C1N(c2c(C(C)C)cccc2C(C)C)CCN1c3c(C(C)C)cccc3C(C)C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,718.7359999999999,9.499199999999998,0,0,0,0,0,0,1,0,1,0,0.93755615,0.957669,0.96956956,0.9481775,0.9782518,0.958244802,0.9380488350355608,0.9784407689644391
33,33,33,33,33,33,33,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCCOCCOC)cc3C)c4c(C)cc(OCCOCCOC)cc4C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,834.8439999999996,7.517080000000009,0,0,0,0,0,0,1,0,1,0,0.93971807,0.9282814,0.96469235,0.8995021,0.9436549,0.935169764,0.9055001026144774,0.9648394253855225
34,34,34,34,34,34,34,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1571.2729999999983,16.079519999999967,0,0,0,0,0,0,1,0,1,0,0.9610572,0.95777273,1.0,0.9710351,0.8336302,0.9446990459999999,0.8648875194404716,1.024510572559528
35,35,35,35,35,35,35,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,626.634,8.050320000000008,0,0,0,0,0,0,1,0,1,0,0.9232594,0.9305218,0.9573647,0.90336406,0.9654949,0.9360009719999999,0.9044431729645364,0.9675587710354634
36,36,36,36,36,36,36,metal_catalyst,GMT-oNF-2,Acetonitrile,Cc1cc(C)c(N2CCN(C2=[Ru](Cl)(Cl)([P](C3CCCCC3)(C4CCCCC4)C5CCCCC5)=C6C=C(C7=CC=CC=C76)c8ccccc8)c9c(C)cc(C)cc9C)c(C)c1,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,949.1099999999996,15.545019999999964,0,0,0,0,0,0,1,0,1,0,0.932639,0.95775515,0.996889,0.94614744,0.98970497,0.964627112,0.9301628839189098,0.9990913400810901
37,37,37,37,37,37,37,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)C(CC(CCCC)CC)CN2c4c(C)cc(C)cc4C)cccc1)C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,738.8500000000001,11.02541999999999,0,0,0,0,0,0,1,0,1,0,0.925142,0.9401512,0.9686521,0.92208785,0.97908294,0.947023218,0.9151036419025941,0.9789427940974059
