,doi,year,journal,membrane,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solute_name,secondary_solute_name,secondary_solute_ratio,solvent,pressure,permeance,rejection,temperature,process_configuration,exclude,solute_smiles,secondary_solute_smiles,solute_category,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,batch,date,solute_identifier,secondary_solute_identifier,solute_type,solute_reactions
10,10.1002/cplu.201300112,2013,ChemPlusChem,SM122,220,-1,0,1,1,Hoveyda-Grubbs precatalyst 3,Hoveyda-Grubbs precatalyst 3,0.5,Toluene,40,0.06,0.993,30,CF,0,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCC45CC6CC(CC(C5)C6)C4)cc3C)c7c(C)cc(OCC89CC%10CC(CC(C9)C%10)C8)cc7C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCC45CC6CC(CC(C5)C6)C4)cc3C)c7c(C)cc(OCC89CC%10CC(CC(C9)C%10)C8)cc7C,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,927.076,12.62388,927.076,12.62388,,,,,Grubbs catalyst,alkene metathesis
11,10.1002/cplu.201300112,2013,ChemPlusChem,SM122,220,-1,0,1,1,Hoveyda-Grubbs precatalyst 4,Hoveyda-Grubbs precatalyst 4,0.5,Toluene,40,0.06,0.996,30,CF,0,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCCOCCOC)cc3C)c4c(C)cc(OCCOCCOC)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(OCCOCCOC)cc3C)c4c(C)cc(OCCOCCOC)cc4C,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,834.844,7.51708,834.844,7.51708,,,,,Grubbs catalyst,alkene metathesis
12,10.1002/cssc.200800152,2008,ChemSusChem,SM228,228,-1,0,1,1,Hoveyda-Grubbs II,Hoveyda-Grubbs II,0.5,Toluene,25,0.344,0.65,25,CF,0,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,626.634,8.05032,626.634,8.05032,,,,,Grubbs catalyst,alkene metathesis
13,10.1002/cssc.200800152,2008,ChemSusChem,SM228,228,-1,0,1,1,Hoveyda-Grubbs II,Hoveyda-Grubbs II,0.5,Dimethyl carbonate,25,0.239,0.7,25,CF,0,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,C(OC)(OC)=O,90.078,0.35,0.644,1069,3.1,15.5,3.9,9.7,84.2,626.634,8.05032,626.634,8.05032,,,,,Grubbs catalyst,alkene metathesis
14,10.1002/cssc.200800152,2008,ChemSusChem,SM228,228,-1,0,1,1,Hoveyda-Grubbs II,Hoveyda-Grubbs II,0.5,Methanol,25,1.2,0.72,25,CF,0,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,CO,32.042,-0.77,0.593,791,32.6,15.1,12.3,22.3,40.7,626.634,8.05032,626.634,8.05032,,,,,Grubbs catalyst,alkene metathesis
15,10.1002/cssc.200800152,2008,ChemSusChem,SM228,228,-1,0,1,1,Hoveyda-Grubbs II complex 2,Hoveyda-Grubbs II complex 2,0.5,Toluene,25,0.344,0.82,25,CF,0,CC(C)Oc1ccc(c2c(C)cccc2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,CC(C)Oc1ccc(c2c(C)cccc2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,716.759,10.02574,716.759,10.02574,,,,,Grubbs catalyst,alkene metathesis
16,10.1002/cssc.200800152,2008,ChemSusChem,SM228,228,-1,0,1,1,Hoveyda-Grubbs II complex 2,Hoveyda-Grubbs II complex 2,0.5,Dimethyl carbonate,25,0.239,0.8,25,CF,0,CC(C)Oc1ccc(c2c(C)cccc2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,CC(C)Oc1ccc(c2c(C)cccc2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,metal_catalyst,C(OC)(OC)=O,90.078,0.35,0.644,1069,3.1,15.5,3.9,9.7,84.2,716.759,10.02574,716.759,10.02574,,,,,Grubbs catalyst,alkene metathesis
17,10.1002/cssc.200800152,2008,ChemSusChem,SM228,228,-1,0,1,1,Hoveyda-Grubbs II complex 3,Hoveyda-Grubbs II complex 3,0.5,Toluene,25,0.344,0.92,25,CF,0,CC(C)Oc1ccc(c2cc(C(C)(C)C)c(OCCCC)c(C(C)(C)C)c2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,CC(C)Oc1ccc(c2cc(C(C)(C)C)c(OCCCC)c(C(C)(C)C)c2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,887.055,13.49122,887.055,13.49122,,,,,Grubbs catalyst,alkene metathesis
18,10.1002/cssc.200800152,2008,ChemSusChem,SM228,228,-1,0,1,1,Hoveyda-Grubbs II complex 3,Hoveyda-Grubbs II complex 3,0.5,Dimethyl carbonate,25,0.239,0.92,25,CF,0,CC(C)Oc1ccc(c2cc(C(C)(C)C)c(OCCCC)c(C(C)(C)C)c2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,CC(C)Oc1ccc(c2cc(C(C)(C)C)c(OCCCC)c(C(C)(C)C)c2)cc1C=[Ru](Cl)(Cl)=C3N(CCN3c4c(C)cc(C)cc4C)c5c(C)cc(C)cc5C,metal_catalyst,C(OC)(OC)=O,90.078,0.35,0.644,1069,3.1,15.5,3.9,9.7,84.2,887.055,13.49122,887.055,13.49122,,,,,Grubbs catalyst,alkene metathesis
19,10.1002/jctb.6109,2019,Journal of Chemical Technology & Biotechnology,SM122,220,-1,0,1,1,Hoveyda-Grubbs Catalyst M700,Hoveyda-Grubbs Catalyst M700,0.5,Ethyl acetate,20,13.3,0.97,23,CF,0,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,metal_catalyst,O(C(C)=O)CC,88.106,0.71,0.45,902,6.02,15.8,5.3,7.2,98.5,600.617,10.0163,600.617,10.0163,,,,,Grubbs catalyst,alkene metathesis
20,10.1002/jctb.6109,2019,Journal of Chemical Technology & Biotechnology,SM122,220,-1,0,1,1,Grubbs Catalyst,Grubbs Catalyst,0.5,Ethyl acetate,20,8.36,0.94,23,CF,0,Cl[Ru](=Cc1ccccc1OC(C)C(C)=O)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,Cl[Ru](=Cc1ccccc1OC(C)C(C)=O)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,O(C(C)=O)CC,88.106,0.71,0.45,902,6.02,15.8,5.3,7.2,98.5,654.644,7.61942,654.644,7.61942,,,,,Grubbs catalyst,alkene metathesis
21,10.1002/jctb.6109,2019,Journal of Chemical Technology & Biotechnology,SS126S,300,-1,0,1,1,Hoveyda-Grubbs Catalyst M700,Hoveyda-Grubbs Catalyst M700,0.5,Ethyl acetate,20,1.7,0.96,23,CF,0,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,metal_catalyst,O(C(C)=O)CC,88.106,0.71,0.45,902,6.02,15.8,5.3,7.2,98.5,600.617,10.0163,600.617,10.0163,,,,,Grubbs catalyst,alkene metathesis
22,10.1002/jctb.6109,2019,Journal of Chemical Technology & Biotechnology,SS136,500,-1,0,1,1,Hoveyda-Grubbs Catalyst M700,Hoveyda-Grubbs Catalyst M700,0.5,Ethyl acetate,20,2.1,0.9,23,CF,0,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,CC(C)Oc1c(C=[Ru]([P](C2CCCCC2)(C3CCCCC3)C4CCCCC4)(Cl)Cl)cccc1,metal_catalyst,O(C(C)=O)CC,88.106,0.71,0.45,902,6.02,15.8,5.3,7.2,98.5,600.617,10.0163,600.617,10.0163,,,,,Grubbs catalyst,alkene metathesis
23,10.1016/j.ces.2014.03.029,2014,Chemical Engineering Science,GMT-oNF-2,300,87,-8,0,0,Triphenylphosphine,Triphenylphosphine,0.5,2-propanol,30,0.26,0.663,25,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,C(C)(C)O,60.096,0.05,2.27,785,18.6,15.8,6.1,16.4,76.8,262.292,3.4448,262.292,3.4448,,,,,Phosphine ligand,cross coupling
24,10.1016/j.ces.2014.03.029,2014,Chemical Engineering Science,PM280,280,-1,0,1,1,Triphenylphosphine,Triphenylphosphine,0.5,2-propanol,30,0.406666667,0.828,25,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,C(C)(C)O,60.096,0.05,2.27,785,18.6,15.8,6.1,16.4,76.8,262.292,3.4448,262.292,3.4448,,,,,Phosphine ligand,cross coupling
25,10.1016/j.ces.2014.03.029,2014,Chemical Engineering Science,GMT-oNF-2,300,87,-8,0,0,Triphenylphosphine,Triphenylphosphine,0.5,Dimethyl carbonate,30,0.603333333,0.581,25,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,C(OC)(OC)=O,90.078,0.35,0.644,1069,3.1,15.5,3.9,9.7,84.2,262.292,3.4448,262.292,3.4448,,,,,Phosphine ligand,cross coupling
26,10.1016/j.ces.2014.03.029,2014,Chemical Engineering Science,PM280,280,-1,0,1,1,Triphenylphosphine,Triphenylphosphine,0.5,Dimethyl carbonate,30,1.663333333,0.884,25,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,C(OC)(OC)=O,90.078,0.35,0.644,1069,3.1,15.5,3.9,9.7,84.2,262.292,3.4448,262.292,3.4448,,,,,Phosphine ligand,cross coupling
27,10.1016/j.ces.2014.03.029,2014,Chemical Engineering Science,GMT-oNF-2,300,87,-8,0,0,Triphenylphosphine,Triphenylphosphine,0.5,n-Hexanal,30,0.806666667,0.389,25,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,C(CCC)CC=O,100.161,1.7656,1.4,810,10,15.8,8.5,5.4,120.2,262.292,3.4448,262.292,3.4448,,,,,Phosphine ligand,cross coupling
28,10.1016/j.ces.2014.03.029,2014,Chemical Engineering Science,PM280,280,-1,0,1,1,Triphenylphosphine,Triphenylphosphine,0.5,n-Hexanal,30,0.748466258,0.734,25,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,C(CCC)CC=O,100.161,1.7656,1.4,810,10,15.8,8.5,5.4,120.2,262.292,3.4448,262.292,3.4448,,,,,Phosphine ligand,cross coupling
29,10.1016/j.ces.2014.03.029,2014,Chemical Engineering Science,GMT-oNF-2,300,87,-8,0,0,Triphenylphosphine,Triphenylphosphine,0.5,n-Hexane,30,3.326666667,0.59,25,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,C(CCC)CC,86.178,3.9,0.3,661,1.88,14.9,0,0,131.6,262.292,3.4448,262.292,3.4448,,,,,Phosphine ligand,cross coupling
30,10.1016/j.ces.2014.03.029,2014,Chemical Engineering Science,PM280,280,-1,0,1,1,Triphenylphosphine,Triphenylphosphine,0.5,n-Hexane,30,0.676666667,0.571,25,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,C(CCC)CC,86.178,3.9,0.3,661,1.88,14.9,0,0,131.6,262.292,3.4448,262.292,3.4448,,,,,Phosphine ligand,cross coupling
31,10.1016/j.ces.2014.03.029,2014,Chemical Engineering Science,GMT-oNF-2,300,87,-8,0,0,Triphenylphosphine,Triphenylphosphine,0.5,Toluene,30,1.93,0.905,25,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,262.292,3.4448,262.292,3.4448,,,,,Phosphine ligand,cross coupling
32,10.1016/j.ces.2014.03.029,2014,Chemical Engineering Science,PM280,280,-1,0,1,1,Triphenylphosphine,Triphenylphosphine,0.5,Toluene,30,1.386666667,0.967,25,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,ligand,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,262.292,3.4448,262.292,3.4448,,,,,Phosphine ligand,cross coupling
33,10.1016/j.cherd.2017.03.015,2017,Chemical Engineering Research and Design,SM240,400,-1,0,1,1,Co(C5H7O2)3,Co(C5H7O2)3,0.5,1-Decene,30,1.621621622,0.879,20,DE,0,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,metal_catalyst,C(CCCC=C)CCCC,140.27,3.923,0.815,741,2.7,15.8,1,2.2,190.6,356.26,4.20917,356.26,4.20917,,,,,Organometallic complex,"oxidation, cross coupling reaction, precursor"
34,10.1016/j.cherd.2017.03.015,2017,Chemical Engineering Research and Design,SM240,400,-1,0,1,1,HRh(CO)(PPh3)3,HRh(CO)(PPh3)3,0.5,1-Nonanal,30,0.725513906,0.98,20,DE,0,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,metal_catalyst,C(CCCC=O)CCCC,142.242,3.3,1.4,826,8.83,16.1,5.5,3.9,172.2,919.808,9.7901,919.808,9.7901,,,,,Transition metal complex,hydroformylation
35,10.1016/j.cherd.2017.03.015,2017,Chemical Engineering Research and Design,SM240,400,-1,0,1,1,HRh(CO)(PPh3)3,HRh(CO)(PPh3)3,0.5,1-Nonanol,30,0.144752714,0.98,20,DE,0,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,metal_catalyst,C(CCCCO)CCCC,144.258,3.77,11.7,822,8.248,16,4.8,10.6,174.4,919.808,9.7901,919.808,9.7901,,,,,Transition metal complex,hydroformylation
36,10.1016/j.cherd.2017.03.015,2017,Chemical Engineering Research and Design,SM240,400,-1,0,1,1,HRh(CO)(PPh3)3,HRh(CO)(PPh3)3,0.5,1-Octene,20,4.142259414,0.98,20,DE,0,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,metal_catalyst,C(CCC=C)CCC,112.216,4.47,0.737,715,2.1,15.3,1,2.4,158,919.808,9.7901,919.808,9.7901,,,,,Transition metal complex,hydroformylation
37,10.1016/j.cherd.2017.03.015,2017,Chemical Engineering Research and Design,SM240,400,-1,0,1,1,Co(C5H7O2)3,Co(C5H7O2)3,0.5,1-Octene,20,4.142259414,0.879,20,DE,0,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,metal_catalyst,C(CCC=C)CCC,112.216,4.47,0.737,715,2.1,15.3,1,2.4,158,356.26,4.20917,356.26,4.20917,,,,,Organometallic complex,"oxidation, cross coupling reaction, precursor"
38,10.1016/j.cherd.2017.03.015,2017,Chemical Engineering Research and Design,SM240,400,-1,0,1,1,HRh(CO)(PPh3)3,HRh(CO)(PPh3)3,0.5,1-Undecanal,30,0.386007238,0.98,20,DE,0,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,metal_catalyst,C(CCCCC=O)CCCCC,170.296,3.7161,1.4,830,3,16,3,5,206.4,919.808,9.7901,919.808,9.7901,,,,,Transition metal complex,hydroformylation
39,10.1016/j.cherd.2017.03.015,2017,Chemical Engineering Research and Design,SM240,400,-1,0,1,1,HRh(CO)(PPh3)3,HRh(CO)(PPh3)3,0.5,1-Undecanal,30,0.060313631,0.98,20,DE,0,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,metal_catalyst,C(CCCCC=O)CCCCC,170.296,3.7161,1.4,830,3,16,3,5,206.4,919.808,9.7901,919.808,9.7901,,,,,Transition metal complex,hydroformylation
40,10.1016/j.crci.2017.01.001,2017,Comptes Rendus Chimie,SM228,228,-1,0,1,1,Hoveyda-Grubbs II,Hoveyda-Grubbs II,0.5,Toluene,40,0.215,0.995,25,CF,0,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,626.634,8.05032,626.634,8.05032,,,,,Grubbs catalyst,alkene metathesis
